system:index,center_lat,center_lon,col,grid_id,numeric_id,region,rh_ng_kurtosis_x10_count,rh_ng_kurtosis_x10_max,rh_ng_kurtosis_x10_mean,rh_ng_kurtosis_x10_median,rh_ng_kurtosis_x10_min,rh_ng_kurtosis_x10_p10,rh_ng_kurtosis_x10_p25,rh_ng_kurtosis_x10_p75,rh_ng_kurtosis_x10_p90,rh_ng_kurtosis_x10_stdDev,rh_ng_mean_x10_count,rh_ng_mean_x10_max,rh_ng_mean_x10_mean,rh_ng_mean_x10_median,rh_ng_mean_x10_min,rh_ng_mean_x10_p10,rh_ng_mean_x10_p25,rh_ng_mean_x10_p75,rh_ng_mean_x10_p90,rh_ng_mean_x10_stdDev,rh_ng_skewness_x10_count,rh_ng_skewness_x10_max,rh_ng_skewness_x10_mean,rh_ng_skewness_x10_median,rh_ng_skewness_x10_min,rh_ng_skewness_x10_p10,rh_ng_skewness_x10_p25,rh_ng_skewness_x10_p75,rh_ng_skewness_x10_p90,rh_ng_skewness_x10_stdDev,rh_ng_std_x10_count,rh_ng_std_x10_max,rh_ng_std_x10_mean,rh_ng_std_x10_median,rh_ng_std_x10_min,rh_ng_std_x10_p10,rh_ng_std_x10_p25,rh_ng_std_x10_p75,rh_ng_std_x10_p90,rh_ng_std_x10_stdDev,row,.geo
10,46.35806683435142,25.112288896873878,0,grid_0010_0000,10,East6a,49570,229,2.6239087513456743,-1.0,-18,-11.0,-6.000000000000001,7.000000000000001,19.0,14.643591750184516,49570,505,63.76336740722134,41.56530990812117,-25,1.7095948623085209,9.368988610758274,97.5271596381147,165.52978056426332,67.8053730060092,49570,43,0.6532973509694994,1.0,-31,-11.0,-4.0,5.999999999999999,10.000000000000002,8.416990462559001,49570,387,56.524710033841444,46.505291115076574,16,24.553415615203157,30.483655102514316,74.49009057265292,102.48685132062438,32.76065237867045,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,46.582644628099175,25.112288896873878,0,grid_0011_0000,11,East6a,60069,150,2.4535165794934177,-1.0,-19,-11.999999999999998,-6.99527724762998,6.999999999999999,21.000000000000004,15.451766597276926,60069,529,79.10452021909865,65.49858923427018,-45,5.413899713118435,17.436732149407774,121.48119591337294,181.51822916666666,70.05790619800526,60069,38,0.011036070461669276,0.0,-32,-10.972391794991381,-5.0,6.0,10.999999999999998,8.647450871172193,60069,398,64.02136782783666,56.5100877265993,16,28.540960595373146,38.47939307720869,82.47819556424,110.5485948909596,32.96486910293788,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,46.80722242184693,25.112288896873878,0,grid_0012_0000,12,East6a,60214,198,-1.541888665694826,-5.0,-19,-14.000000000000004,-11.0,2.0,15.0,14.179184659789668,60214,603,97.55326331553509,89.46386295189478,-32,13.490003265955488,45.49799804460171,141.53289602245474,189.6276219848451,66.34348568264757,60214,39,0.8005338813592628,1.0,-26,-9.000000000000002,-4.0,6.0,10.999999999999998,7.91805999645447,60214,398,78.70651520660975,76.54638447009316,15,38.584491865624344,52.53284364728824,100.52491835766321,122.47979717172711,32.93955483519682,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,47.031800215594686,25.112288896873878,0,grid_0013_0000,13,East6a,31195,194,-2.511732480645331,-5.0,-18,-12.978567115287577,-10.000000000000002,1.0,11.0,11.986286636638862,31195,580,108.10916708470451,105.44062585817723,-32,9.313336756776584,53.49801894085813,157.55300545610595,201.56473256002295,70.55133030926532,31195,46,0.17886190742664476,0.0,-25,-8.0,-4.0,4.0,9.0,6.918068318679314,31195,362,81.42360439402069,78.53371985600968,18,38.4989604989605,52.50712301405087,106.51673500524458,128.47286069977721,35.22981129735828,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,47.256378009342434,25.112288896873878,0,grid_0014_0000,14,East6a,39248,241,-3.0539175254224196,-5.5160736922458735,-19,-15.476691324649286,-11.52091729301563,0.4873946920855911,10.48854359211337,14.473024853474248,39248,468,97.64468857723921,94.5123287671233,-30,8.510189969458905,36.47308781869688,150.4548243167875,188.43776824034336,68.29488362403401,39248,42,1.1858207878303038,0.0,-25,-8.0,-3.9821868559934512,5.0,10.999999999999998,7.408391126862369,39248,420,82.64177661015329,82.52521611311379,15,32.4526588845655,48.4963773801343,112.49742870026496,130.46072390341868,39.27268780928093,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,47.48095580309019,25.112288896873878,0,grid_0015_0000,15,East6a,17561,169,-2.9767737759601323,-5.0,-18,-13.999999999999998,-10.980905512747903,1.0,10.0,12.458303343484035,17561,422,87.41959752939366,82.54166666666667,-22,4.409985567382284,24.493739342265528,136.4328691333187,182.5462962962963,66.8501317703221,17561,40,1.7116542708871174,1.0,-23,-6.0,-2.9999999999999996,5.0,11.0,6.658610173968082,17561,342,78.06713819195969,76.48728813559322,18,32.53793485860315,44.454592597394175,108.52368395469787,128.46296296296296,37.213538795587496,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,47.705533596837945,25.112288896873878,0,grid_0016_0000,16,East6a,28568,161,-2.244713416310121,-4.999999999999999,-18,-14.0,-10.0,1.0,11.000000000000002,12.826789990374346,28568,724,83.30640164987419,81.49699978822034,-23,5.476760365075947,21.544764147281803,133.5393342751192,169.54139713567412,63.91037947078731,28568,36,0.9547501463329721,0.0,-28,-7.0,-4.0,5.0,10.0,6.918449373426149,28568,485,70.56767004496342,70.49249267958382,19,30.496490964557445,42.530310438364424,94.48911588901775,110.4736603636803,31.630583868221464,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,47.9301113905857,25.112288896873878,0,grid_0017_0000,17,East6a,28392,177,-1.6565936690343894,-3.0000000000000004,-18,-12.0,-8.0,2.0,10.0,10.995934385442187,28392,532,84.22370868287773,73.52297018910106,-23,1.4607506872447757,13.450432154782778,141.56962025316454,189.47813341784186,73.94382865774651,28392,35,0.10516485314774779,0.0,-24,-8.0,-4.0,4.0,8.0,6.308908731151589,28392,485,68.15023465403586,58.49009670579718,17,28.47548050480877,38.514549895619396,94.51702995088439,118.471875,36.84403891280019,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,44.11228889687388,25.336866690621633,1,grid_0000_0001,18,East6a,4913,197,1.6501879285431236,-2.0,-18,-13.0,-9.0,7.0,20.0,15.859818069379552,4913,437,41.40063243258389,22.414337372947614,-33,2.5020832517012135,6.512738853503185,70.671875,96.58823529411765,44.40914345280166,4913,40,4.055573212077061,4.0,-16,-5.0,-1.0,8.0,15.0,7.6393757127401996,4913,380,49.42275796644906,40.41420268521104,19,22.6223830082659,26.455831518136186,62.44927536231884,84.74358974358974,30.313877859407963,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,44.33686669062163,25.336866690621633,1,grid_0001_0001,19,East6a,4889,126,2.600822611602798,0.0,-18,-14.0,-9.0,9.0,22.0,16.344871886059245,4889,547,49.28526185048194,21.592353932328432,-25,1.8755951725908808,5.478573184551827,81.6875,125.1338932806324,59.94025418534823,4889,35,3.3629844085095977,3.0,-19,-8.0,-2.0,8.0,14.0,8.232023550836647,4889,369,50.37864025342808,44.471014492753625,16,22.514485384798462,28.480995084612218,66.485266128503,80.47142857142858,32.93922335407727,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
