file = GEDI02_A_2019175115613_O03007_03_T02893_02_003_01_V002
beam = BEAM1011
shot = 30071100300208676


rh,wf,wf_ground_gau,wf_ground_mir,wf_nogroud_gau,wf_noground_mir,rh_noground_gau,rh_noground_mir
-4.41,0.02439025297965184,0.001664583907527333,0.02439025297965184,0.022725669072124508,0.0,-4.409999847412109,0.18000027748762895
-4.0,0.027666255235672,0.003928009465689784,0.027666255235672,0.023738245769982215,0.0,-4.278132913987829,0.2248309084894526
-3.67,0.03189032137393951,0.007376966651549589,0.03189032137393951,0.02451335472238992,0.0,-4.146265980563547,0.2654614259247462
-3.37,0.035282636582851405,0.012481395843709539,0.035282636582851405,0.022801240739141866,0.0,-4.014399047139267,0.2961719577840733
-3.1,0.04814819097518923,0.019282684993046275,0.04814819097518923,0.028865505982142953,0.0,-3.8868842109000714,1.1896125700057179
-2.92,0.0541331088542938,0.02525483753120735,0.0541331088542938,0.02887827132308645,0.0,-3.759902848570253,1.4403798644170707
-2.73,0.05263156414031983,0.032993594708955784,0.05263156414031983,0.019637969431364047,0.0,-3.6321871922011915,1.5756909381456017
-2.54,0.06047474861145016,0.04233574175794768,0.06047474861145016,0.018139006853502483,0.0,-3.50269112644497,1.6524266823529172
-2.39,0.0666666878596879,0.05089490762278061,0.0666666878596879,0.0157717802369073,0.0,-3.373195060688748,1.7236569177399363
-2.24,0.06666662216186525,0.06050279980238979,0.06666662216186525,0.006163822359475463,0.0,-3.2543379574205957,1.8036363262964799
-2.09,0.08065272331237794,0.07112306179813985,0.08065272331237794,0.009529661514238091,0.0,-3.13574999990572,1.8865001909260015
-1.98,0.08065276622772216,0.07951028245547732,0.08065276622772216,0.0011424837722448372,0.0,-3.025880007266793,1.9584390824670785
-1.83,0.08065267562866207,0.09166922402452404,0.08065267562866207,-0.01101654839586197,0.0,-2.919729098787817,2.0202417055449984
-1.72,0.09090908050537116,0.10103015779445262,0.09090908050537116,-0.01012107728908146,0.0,-2.793440378354474,2.0809025671050185
-1.61,0.08728590965270999,0.11067806869603343,0.08728590965270999,-0.023392159043323438,0.0,-2.649285083137446,2.1464454991632533
-1.49,0.08728587508201602,0.12141952551940115,0.08728587508201602,-0.03413365043738513,0.0,-2.4810631838674024,2.2174018994751488
-1.38,0.12265504837036145,0.13134917557970752,0.12265504837036145,-0.008694127209346064,0.0,-2.2514566904142757,2.2893217956001566
-1.31,0.12092729568481464,0.1376542258610639,0.12092729568481464,-0.016726930176249266,0.0,3.1464189583747317,2.356087549069123
-1.19,0.12092721223831182,0.14833054574929075,0.12092721223831182,-0.027403333510978928,0.0,3.190744038226769,2.418729436573893
-1.12,0.13452369332313552,0.15442455169262245,0.13452369332313552,-0.019900858369486935,0.0,3.2350691180788065,2.474831963327411
-1.04,0.11064590454101564,0.16121387486001856,0.11064590454101564,-0.050567970319002925,0.0,3.2813754327348925,2.528027757841804
-0.93,0.12265524387359616,0.17015146137159767,0.12265524387359616,-0.04749621749800151,0.0,3.328688122288058,2.579967679440216
-0.86,0.13452381372451794,0.1755436963828946,0.13452381372451794,-0.041019882658376666,0.0,3.3760008118412235,2.6310450935684924
-0.78,0.13452376008033728,0.18137307308087167,0.13452376008033728,-0.04684931300053438,0.0,3.4238416189577014,2.679222868644857
-0.71,0.1345238018035888,0.18614504859898234,0.1345238018035888,-0.05162124679539354,0.0,3.4722260807903735,2.7382236725456255
-0.63,0.20833359718322786,0.19118057491359386,0.20833359718322786,0.017153022269634,0.0,3.5206596414580322,2.800522939536524
-0.59,0.21103849887847903,0.19351776852053934,0.21103849887847903,0.01752073035793969,0.0,3.5729349806925237,2.8951729360184726
-0.52,0.1345237982273102,0.19729818282139966,0.1345237982273102,-0.06277438459408946,0.0,3.6252103199270147,2.9838146347617935
-0.44,0.1345238637924191,0.20110737616005014,0.1345238637924191,-0.06658351236763105,0.0,3.677485659161506,3.064864563707796
-0.37,0.21103886604309086,0.20396674368000298,0.21103886604309086,0.007072122363087879,0.0,3.731756293702637,3.1396655162849103
-0.33,0.21103885173797599,0.20539373669017538,0.21103885173797599,0.005645115047800603,0.0,3.7875363845170087,3.215156311801359
-0.26,0.13452364444732678,0.2075167955424828,0.13452364444732678,-0.07299315109515603,0.0,3.8433164753313798,3.2925078096059672
