grid_id,numeric_id,row,col,center_lon,center_lat,region,rh50_x10_mean,rh50_x10_median,rh50_x10_stdDev,rh50_x10_min,rh50_x10_max,rh50_x10_count,rh50_x10_p10,rh50_x10_p25,rh50_x10_p75,rh50_x10_p90,rh_non_ground50_x10_mean,rh_non_ground50_x10_median,rh_non_ground50_x10_stdDev,rh_non_ground50_x10_min,rh_non_ground50_x10_max,rh_non_ground50_x10_count,rh_non_ground50_x10_p10,rh_non_ground50_x10_p25,rh_non_ground50_x10_p75,rh_non_ground50_x10_p90
grid_0011_0000,11,11,0,15.112288896873878,36.582644628099175,East3,9.777699826580484,3.0,18.69052497925085,-2,144,500,0.0,1.0,9.0,24.0,47.07514583004887,42.0,15.171685601804443,31,143,500,35.0,38.0,49.0,66.0
grid_0012_0000,12,12,0,15.112288896873878,36.80722242184693,East3,8.488465536192043,2.527887872512583,18.831590714381203,-23,245,6055,-1.2205835082345378,0.5685186609886455,6.445611663256358,22.46511627906977,50.15885637640013,44.50153708381785,18.86055946983881,0,257,6055,36.527451412731914,40.51836830586228,54.56115062892425,72.32707814103505
grid_0013_0000,13,13,0,15.112288896873878,37.031800215594686,East3,14.016893888120673,2.581081384052014,33.23607093875481,-30,384,12256,-1.2372500119898326,0.5771890821948382,10.422988505747126,38.2962962962963,57.087327996891375,49.45320662219722,34.238615118168255,0,721,12256,37.7088542182054,41.509216662906034,61.51689660186286,89.48427827799662
grid_0014_0000,14,14,0,15.112288896873878,37.256378009342434,East3,13.780624827083802,5.297980697886555,28.597648081426843,-29,525,7900,-1.835371546992781,1.3722851285374327,13.367609254498715,45.37313432835821,57.60911683860426,49.41315200226271,28.572778426756393,0,524,7900,37.704311704467194,41.524001601829184,65.49574846747083,89.71997769024296
grid_0015_0000,15,15,0,15.112288896873878,37.48095580309019,East3,26.98451536478592,9.33403446323113,45.037457398812464,-16,562,7346,1.510327466174495,1.510327466174495,29.3137303762771,85.58,70.95460494142901,57.41033084738976,43.935803541825045,0,580,7346,37.59051432438529,41.42368897977381,81.44680851063829,121.51785714285714
grid_0016_0000,16,16,0,15.112288896873878,37.705533596837945,East3,35.39345324851639,13.380490296220632,46.019577710692275,-22,670,17293,1.6402099113072024,5.40305675249928,53.431145824242954,101.51538461538462,70.71309214081067,57.44435907135089,40.61008346008296,0,679,17293,37.64611541713062,45.49585373462274,85.37129840546697,121.4726368159204
grid_0017_0000,17,17,0,15.112288896873878,37.9301113905857,East3,41.81358788131279,21.493517002810638,47.39835611078971,-21,560,20337,1.576084869085076,5.3963403288939435,69.3989218328841,109.46551724137932,76.21342463752265,65.51851441022086,39.53782867225349,0,726,20337,37.58571646669397,49.42611256313071,93.50401606425703,129.58502068364902
grid_0018_0000,18,18,0,15.112288896873878,38.154689184333456,East3,30.1732813281065,10.418227779533245,39.14198032849643,-18,246,6573,0.5324457908163265,2.6128044984172965,50.44444444444444,88.49152542372882,66.5030082588095,58.55045871559633,30.909924919271518,0,313,6573,36.513513513513516,44.51117449036843,82.52383360147093,106.43650856286008
grid_0019_0000,19,19,0,15.112288896873878,38.379266978081205,East3,27.30679442508712,9.0,34.19395167805188,-1,142,26,1.0,2.0,40.0,69.0,56.55905923344949,47.0,25.068456569818963,33,157,26,34.0,43.0,60.0,84.0
grid_0020_0000,20,20,0,15.112288896873878,38.60384477182896,East3,31.46938775510204,13.0,35.30601038085317,-11,133,98,2.0,4.0,58.0,93.0,58.275510204081634,53.5,24.634793965431978,1,160,98,36.0,41.0,67.0,97.0
