file = GEDI02_A_2019175115613_O03007_03_T02893_02_003_01_V002
beam = BEAM0110
shot = 30070600300568313


rh,wf,wf_ground_gau,wf_ground_mir,wf_nogroud_gau,wf_noground_mir,rh_noground_gau,rh_noground_mir
-2.2,0.14285727909646084,0.04426008452487109,0.14285727909646084,0.09859719457158975,0.0,-2.200000047683716,1.8633043662820696
-2.13,0.1226551914215088,0.04775195050653687,0.1226551914215088,0.07490324091497193,0.0,-2.1353838704641257,2.226209858241411
-2.02,0.11064597368240355,0.053537839155089084,0.11064597368240355,0.05710813452731446,0.0,-2.0521518923610813,2.277920042956884
-1.94,0.11064601182937621,0.05796026683903125,0.11064601182937621,0.05268574499034496,0.0,-1.956549114028424,2.3231092432821665
-1.83,0.09090908050537111,0.06430607150086631,0.09090908050537111,0.026603009004504796,0.0,-1.8198666193950428,2.369291471561613
-1.72,0.11064590215682985,0.0709153899425388,0.11064590215682985,0.03973051221429104,0.0,-1.6584543901362154,2.416933006426333
-1.64,0.11064587593078612,0.07585555479408297,0.11064587593078612,0.03479032113670315,0.0,-1.5079442435810537,2.464574504040708
-1.53,0.12265525341033923,0.08278046033540455,0.12265525341033923,0.039874793074934675,0.0,-1.3295094707775625,2.512215987576706
-1.46,0.120927402973175,0.08723701280817618,0.120927402973175,0.03369039016499882,0.0,1.8919792785590455,2.5598574552808833
-1.34,0.12092728614807136,0.0948985134949659,0.12092728614807136,0.02602877265310545,0.0,1.9812197584163347,2.6074989008336975
-1.27,0.1226550483703614,0.09934320643739555,0.1226550483703614,0.023311841932965843,0.0,2.0689707249597813,2.6533315325877678
-1.16,0.11064597845077517,0.10622380592958595,0.11064597845077517,0.004422172521189219,0.0,2.146974012769327,2.698520690888823
-1.08,0.1345238113403321,0.11110145982121929,0.1345238113403321,0.023422351519112802,0.0,2.2159228989241604,2.743131167562408
-1.01,0.12092718124389656,0.11524922240958507,0.12092718124389656,0.005677958834311492,0.0,2.2864610105346475,2.7864129254472902
-0.89,0.12092725753784173,0.12202410753594163,0.12092725753784173,-0.0010968499980999052,0.0,2.359643033991548,2.82990678726571
-0.82,0.12265502452850319,0.12573889559471044,0.12265502452850319,-0.00308387106620725,0.0,2.434123899713005,2.8734976986867165
-0.71,0.11064590692520149,0.13115401613192382,0.11064590692520149,-0.02050810920672233,0.0,2.5051515611653365,2.9170886101077227
-0.63,0.13452385067939754,0.13472417386781213,0.13452385067939754,-0.00020032318841459174,0.0,2.5745918729879604,2.9603910327736895
-0.56,0.12092741012573227,0.1375653376296934,0.12092741012573227,-0.01663792750396112,0.0,2.640228163178026,3.004275370885383
-0.44,0.12092723369598413,0.1417639047524917,0.12092723369598413,-0.020836671056507577,0.0,2.7012737533549407,3.049464582293991
-0.37,0.13452368736267073,0.1437920688094997,0.13452368736267073,-0.009268381446828983,0.0,2.7597201772211024,3.0946537937025993
-0.29,0.13452393174171462,0.14570681292676232,0.13452393174171462,-0.011182881185047705,0.0,2.8155682646756284,3.142005206371692
-0.22,0.12265512943267831,0.14701586751476525,0.12265512943267831,-0.02436073808208694,0.0,2.87068442419937,3.190591376125167
-0.11,0.11064593315124505,0.14835898278720203,0.11064593315124505,-0.03771304963595698,0.0,2.925614124367343,3.242898130707215
-0.03,0.14880940914154017,0.14877585933100507,0.14880940914154017,3.3549810535105085e-05,0.0,2.9789585555168454,3.2952048807331673
0.03,0.13992858409881592,0.14877585933100507,0.14880940914154017,-0.008847275232189145,-0.00888082504272425,3.033568193876255,3.347511589528834
0.14,0.11064593315124505,0.14808047758588325,0.11392116864862022,-0.0374345444346382,-0.00327523549737517,3.0885080625925263,3.399818298324501
0.22,0.134523981809616,0.14701586751476525,0.12265512943267831,-0.012491885705149253,0.011868852376937689,3.145215351438934,3.4474759584524928
0.29,0.12092745780944814,0.14570681292676232,0.13452393174171462,-0.02477935511731419,-0.013596473932266484,3.2044097062623713,3.496597761586211
0.41,0.12092718601226826,0.1426724780852046,0.12675428609437214,-0.02174529207293635,-0.005827100082103881,3.266741653948137,3.5489044568106727
0.48,0.1345236277580264,0.1404628993218041,0.12092729250588558,-0.005939271563777715,0.013596335252140823,3.3283082369159063,3.6012111554831856
0.56,0.11064599037170408,0.1375653376296934,0.12092741012573227,-0.026919347257989307,-0.010281419754028187,3.3894192419449287,3.653517866794737
0.67,0.12265536069869976,0.13298040357230662,0.12258486990707043,-0.01032504287360686,7.049079162932403e-05,3.445018641077867,3.7053050863636625
0.74,0.13452379107475299,0.12973242968231208,0.11392112377485855,0.004791361392440907,0.020602667299894434,3.50126168789954,3.7529465452619126
