grid_id,numeric_id,row,col,center_lon,center_lat,region,rh100_x10_mean,rh100_x10_median,rh100_x10_stdDev,rh100_x10_min,rh100_x10_max,rh100_x10_count,rh100_x10_p10,rh100_x10_p25,rh100_x10_p75,rh100_x10_p90
grid_0000_0000,0,0,0,-4.887711103126123,34.11228889687388,Central1,102.19081789372969,89.41547760951904,43.93573751212003,62,957,8689,69.49635489833642,77.45620022753128,113.44403133992898,153.50574712643677
grid_0001_0000,1,1,0,-4.887711103126123,34.33686669062163,Central1,93.71293807870998,88.51610524499114,24.858145791177396,62,323,11548,70.43402592923074,76.40758445343167,104.41702127659575,124.49120447772043
grid_0002_0000,2,2,0,-4.887711103126123,34.56144448436939,Central1,110.86135812449467,97.47330151530257,44.05175211234659,56,757,11972,73.474289446186,81.41476323119778,129.5450743795233,165.53
grid_0003_0000,3,3,0,-4.887711103126123,34.78602227811714,Central1,108.73424161863176,97.48462627763836,39.556912136401245,60,833,11268,73.47137217940337,81.44775900150572,125.44222918696829,161.51063829787233
grid_0004_0000,4,4,0,-4.887711103126123,35.01060007186489,Central1,119.81479651487045,101.39063917525773,57.855848841399144,58,1037,9508,73.50485436893204,81.5261520185214,137.47596153846155,189.57575757575756
grid_0005_0000,5,5,0,-4.887711103126123,35.23517786561265,Central1,122.80591011289246,109.55172413793103,52.85962344790109,55,893,3477,73.57920792079207,85.42023836809535,149.43030756286808,190.02564102564102
grid_0006_0000,6,6,0,-4.887711103126123,35.459755659360404,Central1,105.15489044140996,99.0,29.87151820714843,70,202,50,74.0,81.0,127.0,133.0
grid_0008_0000,8,8,0,-4.887711103126123,35.90891124685591,Central1,349.0,349.0,0.0,349,349,2,349.0,349.0,349.0,349.0
grid_0010_0000,10,10,0,-4.887711103126123,36.35806683435142,Central1,154.1168290943665,160.0,50.8144140109898,72,284,34,97.0,111.0,181.0,209.0
grid_0011_0000,11,11,0,-4.887711103126123,36.582644628099175,Central1,138.090758733421,123.59883802872044,61.63907402762564,56,1193,22556,75.40138894219594,91.35283651951711,171.381987807953,219.1284764634032
grid_0012_0000,12,12,0,-4.887711103126123,36.80722242184693,Central1,125.45262862046742,109.499173553719,53.79655835139095,58,850,19611,73.40639665789546,85.41276498134634,153.4198250728863,201.31427980417843
grid_0013_0000,13,13,0,-4.887711103126123,37.031800215594686,Central1,102.11007485119943,85.29456733606338,54.501809826694455,62,993,6796,69.52646065500966,73.38608758862748,113.54743129211215,149.5
grid_0014_0000,14,14,0,-4.887711103126123,37.256378009342434,Central1,94.27185779290993,83.28548962448697,48.42952755411455,62,1343,8175,68.0480500060677,75.06689633863091,99.26231840870149,131.45794392523365
grid_0015_0000,15,15,0,-4.887711103126123,37.48095580309019,Central1,85.09773707505728,74.41503360253007,28.43908245281103,62,375,5915,66.55660653339835,68.46345256609642,88.54545454545455,112.45
grid_0016_0000,16,16,0,-4.887711103126123,37.705533596837945,Central1,89.24536168770823,78.33952466546833,33.458946185073664,61,416,4684,66.56428396354643,70.44691358024691,94.43458052521495,120.59375
grid_0017_0000,17,17,0,-4.887711103126123,37.9301113905857,Central1,125.29901243221111,113.48011180609457,50.85690766374145,55,1073,42584,77.49663938008672,89.45919709129275,149.500089408614,185.2095990279465
grid_0018_0000,18,18,0,-4.887711103126123,38.154689184333456,Central1,106.72195724792026,91.35643158394677,48.436046672786134,54,1094,54325,75.51124311508677,83.46207222726447,115.4120866889135,155.4322468506918
grid_0019_0000,19,19,0,-4.887711103126123,38.379266978081205,Central1,89.97024512218157,86.42668670864495,18.11626447284473,59,565,23833,72.5605992159505,78.49973546615593,96.398168742586,108.52075464911334
grid_0020_0000,20,20,0,-4.887711103126123,38.60384477182896,Central1,87.85905757143831,84.47773779472581,16.106653107711296,59,562,21202,70.4990817880498,76.42987464745626,94.43545905851633,106.49019607843137
grid_0021_0000,21,21,0,-4.887711103126123,38.828422565576716,Central1,94.58452390060478,88.53232447920422,25.42953404434405,58,335,20244,70.49587322026026,78.51179795191285,102.54915730337078,122.51349141455438
grid_0022_0000,22,22,0,-4.887711103126123,39.05300035932447,Central1,96.20111403424725,88.49682933225262,28.923049170995,58,390,22357,70.4878449163545,78.49823444931947,104.41385902805342,130.5747950819672
grid_0023_0000,23,23,0,-4.887711103126123,39.27757815307223,Central1,129.70744304774897,115.47813273847287,81.59455383147588,54,1358,16400,75.60450722144994,83.46611966207614,155.46321070234114,195.25709505116163
grid_0024_0000,24,24,0,-4.887711103126123,39.50215594681998,Central1,113.59576835909063,98.5187165775401,45.99484644604061,55,366,9587,70.5095059336401,78.43375877989794,138.6547619047619,184.54884105960264
grid_0025_0000,25,25,0,-4.887711103126123,39.72673374056773,Central1,109.73191780438313,89.32759587707417,73.02539700371423,57,938,12487,69.51675013315044,77.44438590077206,117.59983414136259,161.61980772719028
grid_0026_0000,26,26,0,-4.887711103126123,39.95131153431549,Central1,101.46712800260275,94.45981847688886,33.20414007628766,60,454,9770,72.6006006006006,80.5524861878453,110.49343738914509,136.46666666666667
grid_0027_0000,27,27,0,-4.887711103126123,40.17588932806324,Central1,127.45037625549072,113.4840073309583,48.657934384270206,56,666,31715,81.54516478976836,93.55253983817134,149.53366368950478,197.56902545153997
grid_0028_0000,28,28,0,-4.887711103126123,40.400467121811,Central1,132.174434501801,116.41961726911343,55.859436418348956,58,417,15814,74.42408065788479,86.35641534815194,166.4808485562758,212.54776537979592
grid_0029_0000,29,29,0,-4.887711103126123,40.625044915558746,Central1,96.58065581390849,89.3268020197193,34.311198555508106,59,671,12188,69.49932349583527,77.48370092039956,105.36053370424749,129.36708860759492
grid_0030_0000,30,30,0,-4.887711103126123,40.8496227093065,Central1,118.35524021799381,93.54638311583696,104.67357987424327,60,945,5775,73.36703988172509,81.53444106478246,117.5425193269668,149.45901639344262
grid_0031_0000,31,31,0,-4.887711103126123,41.07420050305426,Central1,183.12280443320358,109.75806451612904,201.4050383984009,63,1051,1577,73.32835820895522,85.19117647058823,137.37777777777777,537.1666666666666
grid_0032_0000,32,32,0,-4.887711103126123,41.29877829680201,Central1,126.01629898215191,130.0,26.042062226805548,62,279,7160,85.99999999999999,110.0,144.0,156.0
grid_0033_0000,33,33,0,-4.887711103126123,41.52335609054977,Central1,139.43736763470648,125.35594984836824,75.18308586648591,57,962,9858,81.49377593360995,101.60930728715246,153.44802867383513,189.33009708737865
grid_0034_0000,34,34,0,-4.887711103126123,41.747933884297524,Central1,102.92847918663422,85.36597411444141,82.57454055031127,61,1009,9629,69.61676598486068,77.51392080840687,101.56350789218759,133.53956834532374
grid_0035_0000,35,35,0,-4.887711103126123,41.97251167804528,Central1,106.97862910720559,85.27486756915833,86.18230985455237,61,1031,2859,69.59077542858823,73.4300766283525,105.35308609095146,153.26666666666668
grid_0036_0000,36,36,0,-4.887711103126123,42.19708947179303,Central1,112.28337714681658,94.2,46.6778705557501,63,389,747,74.375,80.36,128.5,180.0
grid_0037_0000,37,37,0,-4.887711103126123,42.42166726554078,Central1,141.8008694119515,125.21069258809233,90.5872844006585,62,899,4498,77.41509433962264,93.43137254901961,153.47142857142856,185.27272727272728
grid_0038_0000,38,38,0,-4.887711103126123,42.64624505928854,Central1,140.44868729696495,140.5,43.70330386452868,60,340,13396,82.57025369076243,102.59420289855072,172.4956896551724,194.57442233523327
grid_0039_0000,39,39,0,-4.887711103126123,42.870822853036294,Central1,151.01757214381044,144.39512950989018,60.04819546989415,56,467,17552,78.47443599803825,100.48122725769105,192.59493670886076,232.58755760368666
grid_0040_0000,40,40,0,-4.887711103126123,43.09540064678404,Central1,159.89371760018145,145.35185185185185,82.41474450889429,58,956,6249,77.42575544243473,97.56521739130434,205.38297872340425,257.54237288135596
grid_0041_0000,41,41,0,-4.887711103126123,43.3199784405318,Central1,152.51999624665433,131.34105371329196,74.62951274053131,57,1289,10552,75.58730259439132,91.53340725002595,195.66088928484652,251.44897959183675
grid_0042_0000,42,42,0,-4.887711103126123,43.544556234279554,Central1,152.23744653306213,136.28571428571428,70.54076119638239,59,555,2138,76.55555555555556,96.575,192.45454545454547,246.6315789473684
grid_0043_0000,43,43,0,-4.887711103126123,43.76913402802731,Central1,184.3,198.5,43.97965438700034,112,263,10,112.0,163.0,209.0,236.0
grid_0044_0000,44,44,0,-4.887711103126123,43.993711821775065,Central1,159.0,159.0,0.0,159,159,1,159.0,159.0,159.0,159.0
grid_0000_0001,45,0,1,-4.663133309378369,34.11228889687388,Central1,93.0091674409261,82.46486814957181,31.35618301576149,62,351,6262,68.47395720769397,74.38801928907885,100.43137254901961,128.36467657100673
grid_0001_0001,46,1,1,-4.663133309378369,34.33686669062163,Central1,92.96634988330428,86.43360157302551,25.629401204831847,62,343,8179,70.48352758932049,74.45259470728546,102.61658031088083,124.35659998783973
grid_0002_0001,47,2,1,-4.663133309378369,34.56144448436939,Central1,102.4248188667626,90.58993637941006,36.07270423080336,58,387,9383,70.49195402298851,76.47795823665894,114.44996517297423,150.85714285714286
grid_0003_0001,48,3,1,-4.663133309378369,34.78602227811714,Central1,121.78772644044784,108.45131958036005,50.749327195831874,58,529,14934,74.46153846153847,86.4999951941099,142.50967741935483,188.4848484848485
grid_0004_0001,49,4,1,-4.663133309378369,35.01060007186489,Central1,119.9113586285667,101.48795586883236,53.67806498356069,58,631,8011,73.42966649632278,81.58698453608248,141.4569536423841,193.64788732394365
grid_0005_0001,50,5,1,-4.663133309378369,35.23517786561265,Central1,112.3080791149849,93.3974358974359,72.10224968788678,62,956,1303,69.64318934258237,77.66666666666667,117.83637548891785,161.86666666666667
grid_0006_0001,51,6,1,-4.663133309378369,35.459755659360404,Central1,141.5,137.5,9.394147114027968,134,157,4,134.0,134.0,149.0,157.0
grid_0009_0001,54,9,1,-4.663133309378369,36.13348904060366,Central1,188.0,188.0,91.0,97,279,2,97.0,97.0,279.0,279.0
grid_0010_0001,55,10,1,-4.663133309378369,36.35806683435142,Central1,222.0,222.0,0.0,222,222,2,222.0,222.0,222.0,222.0
grid_0011_0001,56,11,1,-4.663133309378369,36.582644628099175,Central1,123.27159283107133,109.48165801276383,55.767521085487054,58,919,14615,73.40921839349969,81.45331001748688,149.54485049833886,193.4132157003961
grid_0012_0001,57,12,1,-4.663133309378369,36.80722242184693,Central1,104.90662932229235,89.35371680064222,45.418785731447166,58,987,17879,69.47834787925954,77.50623252577809,117.35855894265616,153.51785714285714
grid_0013_0001,58,13,1,-4.663133309378369,37.031800215594686,Central1,103.81294436088996,85.4140479021573,50.97736829241761,62,891,7684,69.54522936688794,73.35930643983154,113.44256866437246,157.85714285714286
grid_0014_0001,59,14,1,-4.663133309378369,37.256378009342434,Central1,96.96112507313902,81.47213923953004,46.026725462639995,61,721,10334,69.47957659824375,73.36222093284312,101.51759897264529,141.46464646464648
grid_0015_0001,60,15,1,-4.663133309378369,37.48095580309019,Central1,90.55086849340546,77.32159864380213,43.96295884857699,60,1016,9693,65.90172672368368,69.42549381163269,97.3673206818913,125.36789026525715
grid_0016_0001,61,16,1,-4.663133309378369,37.705533596837945,Central1,90.66396683796383,80.51244799999999,29.49310345295667,59,373,6929,68.47828013833602,72.46168958742632,98.48762690355329,126.50292397660817
