system:index,center_lat,center_lon,col,grid_id,groups,numeric_id,region,row,.geo
0,44.11228889687388,5.112288896873877,0,grid_0000_0000,"[{treecover_class=1, mean=[64.14876070546634, 26.29671266214604, 1.8879339942274636, -0.17171325235053156], median=[58.508473360557744, 23.0, 2.0, -6.446974849461743], stdDev=[24.830080772560557, 11.861190265873523, 7.371098006013553, 53.94387993554573], min=[0, 0, -42, -30], max=[302, 133, 99, 960], count=[23310, 23310, 23310, 23310], p10=[38.534598214285715, 14.000000000000002, -4.0, -10.074323664322], p25=[46.475195233999074, 18.0, -1.0, -6.446974849461743], p75=[76.4601720600775, 32.0, 4.0, -2.6624701482164737], p90=[98.50464973292857, 42.0, 7.000000000000001, 1.1876588043895513]}, {treecover_class=2, mean=[77.1211021530302, 31.779119686966844, 2.358557877753876, 2.371892617387434], median=[73.0, 29.000000000000004, 2.0, -6.568786593042076], stdDev=[29.110006989422445, 14.353658483176941, 9.243471239625567, 77.68234731444313], min=[0, 0, -50, -30], max=[235, 132, 99, 960], count=[3388, 3388, 3388, 3388], p10=[42.99999999999999, 16.0, -4.0, -10.213431404575488], p25=[54.0, 21.000000000000004, -1.0, -6.568786593042076], p75=[94.0, 40.0, 4.0, -2.624626304318476], p90=[117.0, 51.0, 7.0, 1.2067796610169492]}, {treecover_class=3, mean=[83.24577154765599, 34.2307174845285, 2.4436622305553266, 4.914214770287132], median=[80.0, 33.0, 2.0, -6.5206700460766935], stdDev=[29.776178985635926, 14.723937514595134, 10.615218227743716, 94.50741248921265], min=[0, 0, -40, -30], max=[211, 112, 99, 960], count=[3101, 3101, 3101, 3101], p10=[47.0, 17.0, -3.0, -10.163567166907646], p25=[62.0, 23.0, -1.0, -10.163567166907646], p75=[102.0, 43.0, 4.0, -2.85843205851952], p90=[122.0, 53.0, 6.0, 1.2255012390177968]}, {treecover_class=4, mean=[83.61895509163544, 33.911728404657154, 2.7395377034400217, 10.582851191493992], median=[82.0, 32.0, 2.0, -6.538237608783686], stdDev=[29.222248676522256, 14.764333262047723, 12.90458038743473, 114.57980268913175], min=[0, 0, -37, -30], max=[202, 105, 99, 960], count=[1264, 1264, 1264, 1264], p10=[49.0, 18.0, -3.0000000000000004, -10.08230452674897], p25=[63.0, 24.0, 0.0, -6.538237608783686], p75=[102.0, 42.0, 4.0, -2.907170429908519], p90=[121.0, 53.0, 6.0, 1.2962962962962963]}]",0,East2,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,44.33686669062163,5.112288896873877,0,grid_0001_0000,"[{treecover_class=1, mean=[69.96730505345315, 29.224336555824674, 2.3629210212529133, 1.7720545114538275], median=[61.50640977183103, 26.518604793328333, 2.0, -6.455903229558906], stdDev=[30.826302139311853, 16.932459203897196, 8.62779851589499, 69.55737904018642], min=[0, 0, -54, -30], max=[729, 400, 99, 960], count=[21151, 21151, 21151, 21151], p10=[41.53665874533299, 14.533007354173652, -4.0, -10.056537048204797], p25=[49.4693480970888, 18.488687582561287, -1.0, -6.455903229558906], p75=[85.51480051480051, 36.487202146461954, 5.000000000000001, -2.688403037835018], p90=[109.47566173823157, 46.44932754838011, 7.0, 1.1866736810780936]}, {treecover_class=2, mean=[83.95098112533013, 35.39478666588843, 2.8479529337088323, 5.95254063854314], median=[82.35658914728683, 32.51438449876123, 2.0, -6.496762402319579], stdDev=[29.097443641806727, 15.990999118690304, 11.116212634869424, 99.3290527557373], min=[0, 0, -48, -30], max=[367, 293, 99, 960], count=[4307, 4307, 4307, 4307], p10=[50.53061224489796, 18.543130990415335, -3.0, -10.057051412314571], p25=[62.396039603960396, 24.49171270718232, 0.0, -10.057051412314571], p75=[100.52631578947368, 44.549668874172184, 4.0, -2.8531283353824124], p90=[122.48780487804878, 54.53846153846154, 7.0, 1.0563241366613187]}, {treecover_class=3, mean=[85.21170046776435, 35.60865372230546, 2.8807836724312494, 7.931385048822599], median=[82.4235294117647, 34.4248733439896, 2.0, -6.573854535631807], stdDev=[27.76847242225238, 15.367574699837292, 11.826994836739157, 107.17282363841584], min=[0, 0, -48, -30], max=[300, 302, 99, 960], count=[4812, 4812, 4812, 4812], p10=[52.53333333333333, 18.610328638497652, -3.0, -9.999170495847022], p25=[66.4724409448819, 24.571428571428573, 0.0, -6.573854535631807], p75=[102.51020408163265, 42.497757847533634, 4.0, -2.908530721144151], p90=[122.4423076923077, 54.43589743589744, 6.0, 1.0299003322259137]}, {treecover_class=4, mean=[84.78097457745626, 34.957673841908516, 3.123728639749411, 11.402543186627764], median=[82.0, 33.0, 2.0, -6.401714840467624], stdDev=[27.895906888242752, 14.388093127617715, 12.972400781039573, 119.54530704144304], min=[0, 0, -60, -30], max=[230, 116, 99, 960], count=[2111, 2111, 2111, 2111], p10=[56.0, 20.0, -3.0000000000000004, -9.919686147186146], p25=[66.0, 25.0, 0.0, -6.401714840467624], p75=[99.0, 42.0, 4.0, -2.9943178709601783], p90=[119.0, 53.0, 6.0, 1.2301587301587302]}]",1,East2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,44.56144448436939,5.112288896873877,0,grid_0002_0000,"[{treecover_class=1, mean=[68.73899358129529, 28.086422204315916, 2.5121424858967876, 5.1043032527376475], median=[61.47557078710413, 24.500071793059266, 2.0, -6.4135225620396845], stdDev=[28.30394745580704, 13.45255683698483, 10.228324528948253, 87.27940439611197], min=[0, 0, -72, -30], max=[684, 304, 99, 960], count=[9833, 9833, 9833, 9833], p10=[41.65358133024683, 14.50861525395375, -4.0, -9.917120139210203], p25=[49.55175642996039, 18.51051177621301, -1.0, -6.4135225620396845], p75=[81.48901098901099, 34.42579075425791, 5.0, -2.7188624667603434], p90=[105.31012658227849, 44.36702127659574, 7.0, 1.1484910002432906]}, {treecover_class=2, mean=[74.10200891479421, 31.076466768105323, 3.8289551013178973, 14.495514425489548], median=[68.49843627834245, 28.0, 2.0, -6.50821531570722], stdDev=[29.952317810193833, 15.95909809359049, 13.89608550968595, 128.1992605517836], min=[0, 0, -29, -30], max=[304, 184, 99, 960], count=[2934, 2934, 2934, 2934], p10=[42.51470588235294, 16.0, -3.0, -9.817813765182187], p25=[52.55769230769231, 20.0, 0.0, -6.50821531570722], p75=[88.42857142857143, 38.0, 5.0, -2.8537600399517244], p90=[112.4, 49.0, 7.000000000000001, 1.3268694757866182]}, {treecover_class=3, mean=[76.38569832722274, 31.508686125114586, 3.6181819646539877, 13.950477271425301], median=[70.42056074766356, 28.0, 2.0, -6.415984485854382], stdDev=[30.08450974311666, 15.962643184503246, 13.720471435479544, 126.10338084312455], min=[0, 0, -50, -30], max=[322, 236, 99, 960], count=[4388, 4388, 4388, 4388], p10=[44.56565656565657, 16.0, -3.0, -9.877133105802049], p25=[56.48026315789474, 21.0, 0.0, -6.415984485854382], p75=[92.43181818181819, 38.0, 4.0, -2.8363402854156563], p90=[114.46226505104475, 50.0, 6.0, 1.0620850283498093]}, {treecover_class=4, mean=[95.39758831174719, 37.642512768257795, 2.0125546021251854, 9.53815685790255], median=[88.60540283877971, 35.00000000000001, 1.0, -6.43171569585721], stdDev=[38.39603331893976, 17.20359213520228, 12.360170242874958, 110.4903799034151], min=[0, 0, -50, -30], max=[312, 245, 99, 960], count=[8854, 8854, 8854, 8854], p10=[54.42962962962963, 20.0, -4.0, -9.972796636695966], p25=[68.51717092218976, 26.000000000000004, -2.0, -6.43171569585721], p75=[116.49180327868852, 46.0, 3.0, -2.8427518806264644], p90=[146.40858492157196, 59.0, 4.999999999999999, 1.094615169499425]}]",2,East2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,44.78602227811714,5.112288896873877,0,grid_0003_0000,"[{treecover_class=1, mean=[68.33109256952113, 28.07151046403927, 2.2411005811000395, 3.1013388300315397], median=[60.445511074373954, 25.0, 2.0, -6.467770603873909], stdDev=[29.575960198485998, 14.020070646383953, 9.333532491272937, 75.92488458010074], min=[0, 0, -69, -30], max=[466, 202, 99, 960], count=[11306, 11306, 11306, 11306], p10=[40.55630714109217, 15.0, -4.0, -9.950603446593835], p25=[48.443127962085306, 19.0, -1.0, -6.467770603873909], p75=[80.5130991186768, 34.0, 4.0, -2.6700834466663306], p90=[104.58441558441558, 45.0, 7.000000000000001, 1.1691588453818174]}, {treecover_class=2, mean=[73.83742641820704, 30.381953741340563, 3.1363046887233765, 7.6390329218560815], median=[65.57964601769912, 27.000000000000004, 2.0, -6.436748725525257], stdDev=[36.00296744632718, 16.60839490751178, 11.470319401869833, 102.90208901025238], min=[0, 0, -51, -30], max=[562, 184, 99, 960], count=[3560, 3560, 3560, 3560], p10=[41.558035714285715, 16.0, -3.0, -9.777028021132883], p25=[53.60027634205005, 19.0, 0.0, -6.436748725525257], p75=[85.44124403070785, 36.0, 4.0, -2.7475661107548537], p90=[109.63083680073971, 48.0, 7.0, 1.0510204081632653]}, {treecover_class=3, mean=[76.65811544756492, 31.858317930010557, 3.519393936926447, 12.700404693467096], median=[69.47381324507371, 28.55536922068835, 2.0, -6.458737248747511], stdDev=[35.23747183653679, 18.389897229738246, 13.348950696721037, 122.61405312438357], min=[0, 0, -35, -30], max=[637, 317, 99, 960], count=[5787, 5787, 5787, 5787], p10=[45.72490706319702, 16.586750788643535, -2.0, -9.866996203972628], p25=[57.556179775280896, 20.511304538700525, 0.0, -6.458737248747511], p75=[89.36515259666777, 38.42518350162078, 4.0, -2.799482084003052], p90=[113.48672566371681, 50.53623188405797, 6.0, 1.0339425587467364]}, {treecover_class=4, mean=[89.82600625520689, 35.60021352692084, 1.8708718488352185, 6.610117204792558], median=[85.57647366129734, 32.475503328005516, 1.0, -6.47810198751654], stdDev=[36.013205690483886, 19.278267267090026, 11.17499778492755, 98.61699785899387], min=[0, 0, -53, -30], max=[542, 371, 99, 960], count=[8204, 8204, 8204, 8204], p10=[53.63671875, 18.50668935297408, -4.0, -9.974421553640909], p25=[65.54203547383891, 24.42022720100978, -1.0, -6.47810198751654], p75=[105.43097643097643, 42.529957726188506, 3.0000000000000004, -2.8154539509278673], p90=[129.49530701635064, 54.521126760563384, 4.999999999999999, 1.2176041052330777]}]",3,East2,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,45.01060007186489,5.112288896873877,0,grid_0004_0000,"[{treecover_class=1, mean=[67.05212494553447, 27.52089708696174, 1.4648787233908198, 1.3081584647347446], median=[60.4468085106383, 24.0, 1.0, -6.473926798076998], stdDev=[27.592061229857602, 13.259152241718239, 8.308630457639309, 61.669339920008696], min=[0, 0, -55, -30], max=[282, 236, 99, 960], count=[12450, 12450, 12450, 12450], p10=[40.532527790417994, 15.0, -5.0, -10.057112786391162], p25=[46.45244950744926, 18.0, -2.0, -6.473926798076998], p75=[80.47555555555556, 33.0, 4.0, -2.647400871469783], p90=[104.51433226019162, 45.0, 7.0, 5.318703931838046]}, {treecover_class=2, mean=[84.14894776546812, 34.95577360242413, 2.0289266728397086, -0.8700860609516406], median=[78.0, 32.0, 2.0, -6.531099119568304], stdDev=[30.541439049298408, 14.074680788820716, 7.5719465498538385, 57.182547242370106], min=[0, 0, -39, -30], max=[217, 92, 98, 949], count=[1559, 1559, 1559, 1559], p10=[50.0, 19.0, -4.0, -9.985119047619047], p25=[61.0, 25.0, -1.0, -6.531099119568304], p75=[102.0, 43.0, 5.0, -2.7226360201359294], p90=[126.0, 55.0, 7.000000000000001, 1.2127965062367265]}, {treecover_class=3, mean=[90.79231553747879, 38.02344637426257, 1.9031503059616723, 2.412513893469153], median=[86.6032929279834, 35.0, 1.0, -6.515570714682319], stdDev=[33.233586909322014, 16.586345327254023, 9.396108150400465, 77.49642050460452], min=[0, 0, -45, -30], max=[260, 198, 99, 960], count=[2575, 2575, 2575, 2575], p10=[52.39473684210526, 20.0, -4.0, -10.110406618099585], p25=[66.53333333333333, 26.0, -1.0, -6.515570714682319], p75=[112.58823529411765, 47.0, 4.0, -2.769187050056835], p90=[134.5142857142857, 59.0, 7.0, 1.2371134020618557]}, {treecover_class=4, mean=[102.61819082273884, 41.903099913108726, 1.3869277556842614, 2.4053943766811092], median=[98.46979865771812, 39.00000000000001, 1.0, -6.547621612968765], stdDev=[38.613851069066726, 18.173032059737082, 9.638177800427176, 81.12834056583235], min=[0, 0, -37, -30], max=[394, 205, 99, 960], count=[6632, 6632, 6632, 6632], p10=[58.5968482252142, 22.0, -5.0, -10.149590310120967], p25=[76.55273521527617, 30.0, -2.0, -10.149590310120967], p75=[124.46464646464646, 51.02427453424752, 3.0000000000000004, -2.7647432209945846], p90=[152.46341463414635, 65.0, 6.0, 1.236622993892913]}]",4,East2,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,45.23517786561265,5.112288896873877,0,grid_0005_0000,"[{treecover_class=1, mean=[72.92060381876763, 30.47544774982695, 1.4659449357850882, 1.4523478306137678], median=[65.53710049190607, 26.44908654968279, 1.0, -6.509077601640187], stdDev=[34.4705860179805, 17.34911799655732, 8.671496242309956, 64.8874813993059], min=[0, 0, -74, -30], max=[516, 311, 99, 960], count=[16301, 16301, 16301, 16301], p10=[41.5859688403769, 14.52097619200205, -5.0, -10.125983084652729], p25=[49.491562858909795, 18.502605246283014, -2.0, -6.509077601640187], p75=[89.42126789366053, 36.46958174904943, 4.0, -2.640985295133457], p90=[117.45911320018327, 48.49598694258931, 7.0, 5.292951896637021]}, {treecover_class=2, mean=[92.12321944147018, 38.3109701986893, 1.2892660286722522, -0.8317994525524638], median=[87.0, 36.0, 1.0, -6.562330953483271], stdDev=[35.57411132366684, 16.51962462069425, 7.978893434005103, 62.01061335554752], min=[9, 4, -28, -17], max=[256, 194, 99, 960], count=[1884, 1884, 1884, 1884], p10=[50.0, 20.0, -5.0, -10.243474358654733], p25=[66.0, 26.0, -2.0, -10.243474358654733], p75=[114.0, 47.0, 4.0, -2.8575569903808145], p90=[142.0, 59.0, 7.0, 1.3389830508474576]}, {treecover_class=3, mean=[97.93546141447244, 40.70510278942492, 1.0484681992706477, 1.1870783598674102], median=[94.51724137931035, 38.44776119402985, 1.0, -6.5951708219424745], stdDev=[37.05841283920845, 18.49616600978318, 9.10838214684106, 73.66431128054764], min=[0, 0, -58, -30], max=[399, 342, 99, 960], count=[3667, 3667, 3667, 3667], p10=[52.527272727272724, 20.504504504504503, -5.0, -10.311387771606121], p25=[70.57366247049568, 28.567901234567902, -2.0, -10.311387771606121], p75=[120.63452504180269, 50.48722101737723, 4.0, -2.737451099802851], p90=[146.42857142857142, 64.49333333333334, 6.0, 1.2524590163934426]}, {treecover_class=4, mean=[107.16998732691096, 42.23010898343173, -0.14336934738297719, 1.3222552194130164], median=[105.50594233887075, 40.47716124006511, -1.0, -6.548867827784119], stdDev=[37.80384278133485, 17.660702801574395, 9.155059302423123, 72.79928340787863], min=[0, 0, -42, -30], max=[623, 381, 99, 960], count=[18349, 18349, 18349, 18349], p10=[61.55485721816173, 24.554, -7.0, -10.296133689016928], p25=[81.50992366412214, 30.514646013696098, -4.0, -10.296133689016928], p75=[129.50021648238737, 50.50736497545008, 2.0, -2.6670730886781566], p90=[153.40853658536585, 62.50184501845018, 5.0, 1.2549602314380532]}]",5,East2,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,45.459755659360404,5.112288896873877,0,grid_0006_0000,"[{treecover_class=1, mean=[74.23247317693433, 31.623366995711564, 1.2272279791013665, 0.6733905444095963], median=[65.4790441659935, 28.517278617710584, 1.0, -6.503853456082631], stdDev=[38.10394902717303, 21.893078370217772, 8.403801878935404, 62.62804104204771], min=[0, 0, -67, -30], max=[644, 353, 99, 960], count=[16453, 16453, 16453, 16453], p10=[41.623, 16.49384710910352, -5.0, -10.073293843298675], p25=[49.5189169242766, 20.48916458801318, -2.0, -6.503853456082631], p75=[89.49402044222519, 38.47177466471054, 4.0, -2.7542292680290337], p90=[113.59073359073359, 50.413195757749975, 6.999999999999999, 1.2078655739154927]}, {treecover_class=2, mean=[93.43633448258946, 38.57495216388719, 0.9898194939407591, 1.2333331846585462], median=[88.46875, 37.0, 1.0, -6.5124724170865855], stdDev=[38.208084457384864, 18.83126914574101, 9.166416368128875, 74.0288113725745], min=[10, 3, -31, -17], max=[380, 257, 99, 960], count=[1761, 1761, 1761, 1761], p10=[48.47222222222222, 19.0, -6.0, -10.17041505533477], p25=[68.50827628044024, 26.0, -2.0, -10.17041505533477], p75=[114.53488372093024, 47.0, 4.0, -2.8644578313253013], p90=[140.55555555555554, 58.0, 6.0, 1.295774647887324]}, {treecover_class=3, mean=[94.90092192461807, 39.957139879382396, 1.1543073804042399, 0.026947401271853126], median=[90.48809523809524, 38.45402298850575, 1.0, -6.627604166666667], stdDev=[37.240739539562924, 19.358063877693674, 8.468182217291186, 65.2866940786925], min=[0, 0, -46, -30], max=[424, 300, 99, 959], count=[3370, 3370, 3370, 3370], p10=[52.38181818181818, 20.585365853658537, -5.0, -10.255142964792565], p25=[68.58823529411765, 28.580645161290324, -2.0, -10.255142964792565], p75=[116.50877192982456, 48.32592592592592, 4.0, -2.860643185298622], p90=[140.4, 60.36363636363637, 6.0, 1.25]}, {treecover_class=4, mean=[109.22713658597661, 44.210505280300076, -0.29387537997804236, -1.8738204604281983], median=[105.48739242861639, 42.49687067544732, -1.0, -6.6129751336921085], stdDev=[40.50284981541533, 18.49468427169719, 7.538956381081162, 53.439750254839666], min=[0, 0, -49, -30], max=[599, 357, 99, 960], count=[18437, 18437, 18437, 18437], p10=[61.540942928039705, 24.516990291262136, -7.0, -10.305776579006517], p25=[81.59979838709678, 34.50553097345133, -4.0, -10.305776579006517], p75=[129.4375, 52.47285371801761, 2.0, -2.7104969356933184], p90=[157.43569471272633, 64.51257449121098, 5.0, 1.2900382694557095]}]",6,East2,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,45.68433345310816,5.112288896873877,0,grid_0007_0000,"[{treecover_class=1, mean=[74.78543524358449, 30.758813422500154, 0.8711721509315061, 1.5792833239309196], median=[61.363434603153124, 24.47747795004759, 1.0, -6.4632398998654255], stdDev=[53.27500472730305, 25.461400880434624, 8.66084573319759, 64.43006115662759], min=[0, 0, -41, -30], max=[656, 353, 99, 960], count=[16478, 16478, 16478, 16478], p10=[41.555069915971806, 14.564574197131318, -6.000000000000001, -10.033050868972833], p25=[45.46529290029543, 18.490587852729703, -3.0000000000000004, -6.4632398998654255], p75=[85.58889082795243, 34.44110986084009, 4.0, -2.697663496970515], p90=[117.40651182275181, 48.503880996291265, 6.0, 5.1773708646628185]}, {treecover_class=2, mean=[98.3415192589961, 41.546242764194396, 1.6052776073124255, 3.5688877404907258], median=[94.58823529411765, 36.64912280701754, 0.0, -6.655816207279878], stdDev=[45.50868589694137, 25.877362064823313, 10.459960624003694, 87.91482561333895], min=[0, 0, -27, -30], max=[386, 301, 99, 959], count=[1095, 1095, 1095, 1095], p10=[50.53846153846154, 20.488888888888887, -5.0, -10.13671875], p25=[68.42668897720142, 26.517241379310345, -2.0, -10.13671875], p75=[120.21428571428571, 48.45454545454545, 4.0, -2.9166666666666665], p90=[146.375, 62.8, 7.0, 1.2840909090909092]}, {treecover_class=3, mean=[105.2897030876433, 42.847973925659524, 0.918781290230296, 5.533079265177677], median=[102.3695652173913, 40.56521739130435, 0.0, -6.519255667105801], stdDev=[41.494438377438804, 20.676097838444477, 11.318871192244467, 99.22236130648649], min=[0, 0, -22, -30], max=[414, 302, 99, 960], count=[1925, 1925, 1925, 1925], p10=[56.6, 22.51063829787234, -6.0, -10.191935658263537], p25=[78.2156862745098, 30.53012048192771, -3.0, -10.191935658263537], p75=[128.30914016825898, 50.42383005245936, 3.0, -2.6971644468915237], p90=[154.66666666666666, 64.5, 5.0, 1.2737913096695226]}, {treecover_class=4, mean=[116.97616130488345, 46.250663788646506, -0.12175586379633932, 2.622854919050027], median=[114.54054054054055, 44.49628634639697, -1.0, -6.506240392777665], stdDev=[41.12005752308633, 19.216243895689367, 9.865321713374533, 81.61881557020388], min=[0, 0, -38, -30], max=[397, 292, 99, 960], count=[3476, 3476, 3476, 3476], p10=[66.51162790697674, 24.47365225837785, -7.0, -10.28096178870283], p25=[90.55555555555556, 34.48459943728713, -4.0, -10.28096178870283], p75=[142.51824982997053, 56.45161290322581, 2.0, -2.785901846033188], p90=[166.54233683370998, 68.48275862068965, 5.0, 1.1746723392575311]}]",7,East2,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,45.90891124685591,5.112288896873877,0,grid_0008_0000,"[{treecover_class=1, mean=[80.50255925573425, 33.07633187783435, 0.21699348213995648, 0.8455741239632728], median=[73.40894802697836, 30.465875370919882, 0.0, -6.4952439777640505], stdDev=[41.49612015339156, 17.710642351921106, 8.647510651260646, 62.0906860898902], min=[0, 0, -40, -30], max=[705, 338, 99, 960], count=[6528, 6528, 6528, 6528], p10=[41.57808219178082, 16.462950511027433, -6.0, -10.081078682148648], p25=[53.46386398584153, 20.46702043387385, -4.0, -10.081078682148648], p75=[101.52216748768473, 40.42932491023138, 3.0, -2.712375511788512], p90=[125.5959595959596, 52.42727272727273, 5.999999999999999, 1.258481421647819]}, {treecover_class=2, mean=[93.07130635487867, 38.904672364164576, 0.8938892998137471, 1.7343311381034283], median=[91.0, 37.0, 0.0, -6.471788435911037], stdDev=[37.28356993523155, 16.375252655136602, 9.459106680472761, 74.87506865889341], min=[6, 8, -33, -15], max=[253, 137, 99, 960], count=[881, 881, 881, 881], p10=[47.0, 19.0, -6.0, -10.315068493150685], p25=[65.0, 28.0, -3.0, -10.315068493150685], p75=[118.0, 48.0, 3.0, -2.6], p90=[139.0, 60.0, 6.0, 1.3333333333333333]}, {treecover_class=3, mean=[104.5912283396752, 42.668023178215904, 0.6532509689068415, 1.4339947166561318], median=[102.4054054054054, 42.0, 0.0, -6.616622433504432], stdDev=[37.12650078761894, 16.928306289458412, 9.501261183975922, 76.85852030404149], min=[0, 0, -40, -30], max=[297, 204, 99, 960], count=[1560, 1560, 1560, 1560], p10=[56.30769230769231, 23.0, -6.0, -10.193822451434807], p25=[78.29236413666591, 32.0, -3.0, -10.193822451434807], p75=[128.4358407079646, 52.0, 3.0, -2.7371063624678666], p90=[152.45454545454547, 61.0, 6.0, 1.2325581395348837]}, {treecover_class=4, mean=[123.53892864242442, 47.14866316689959, -1.6560529566231887, -1.863019930208162], median=[122.37216317816863, 45.99999999999999, -2.0, -6.578361628449727], stdDev=[34.46261147325102, 14.44825101296598, 7.170826351658017, 50.16012748036554], min=[0, 0, -30, -30], max=[387, 142, 99, 959], count=[5278, 5278, 5278, 5278], p10=[80.52030861442326, 30.0, -8.0, -10.288737853203923], p25=[102.44909076015728, 38.0, -5.0, -10.288737853203923], p75=[144.58823529411765, 55.0, 1.0, -2.672207087600722], p90=[164.42592592592592, 65.0, 4.0, 1.3018867924528303]}]",8,East2,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,46.13348904060366,5.112288896873877,0,grid_0009_0000,"[{treecover_class=1, mean=[103.50780168769425, 45.438074134192306, -0.6605096398856016, -0.7400489863277978], median=[81.4905511019526, 32.491838739623795, -1.0, -6.576757491997931], stdDev=[87.4951431814923, 50.3712989536334, 7.798412919559712, 53.09041122966549], min=[2, 4, -58, -17], max=[704, 502, 99, 960], count=[8116, 8116, 8116, 8116], p10=[45.55454095724946, 16.513866448875238, -7.0, -10.160839209468573], p25=[57.47612831432302, 24.505512249978374, -4.0, -10.160839209468573], p75=[113.71230527626852, 44.51673253855125, 2.0, -2.696348375293615], p90=[157.25454545454545, 62.48888888888889, 5.0, 1.1978927541350286]}, {treecover_class=2, mean=[110.28327187598555, 44.84894228669853, -0.7841027631547026, -2.1545207539846194], median=[105.63157894736842, 40.43589743589744, -1.0, -6.376146788990826], stdDev=[51.6988881060155, 28.485750030509585, 7.23424175137563, 42.67124505697436], min=[12, 9, -28, -16], max=[625, 323, 87, 740], count=[649, 649, 649, 649], p10=[61.714285714285715, 26.44, -7.0, -10.27413995308835], p25=[81.76666666666667, 32.483432209521055, -4.0, -10.27413995308835], p75=[129.8421052631579, 48.45238095238095, 1.0, -2.8042780166548744], p90=[154.28571428571428, 58.5, 5.0, 1.2653061224489797]}, {treecover_class=3, mean=[122.86222486817486, 48.56348698758292, -0.8295560469467597, -1.8662663718319443], median=[117.36842105263158, 44.58716300489303, -2.0, -6.5793740246228545], stdDev=[57.80653966448729, 30.58263035777261, 7.349060452902298, 49.11901951901352], min=[4, 5, -29, -16], max=[559, 292, 98, 947], count=[1154, 1154, 1154, 1154], p10=[69.0952380952381, 26.58139534883721, -7.0, -10.178181818181818], p25=[93.58087544617696, 36.50786347091547, -4.0, -10.178181818181818], p75=[141.54166666666666, 52.361111111111114, 2.0, -2.759662989663858], p90=[160.96, 62.705882352941174, 5.0, 1.346938775510204]}, {treecover_class=4, mean=[140.4055362259324, 51.597396811522664, -2.874367287119313, -1.4594187801050764], median=[137.59668508287294, 48.5, -2.9999999999999996, -6.516163170759879], stdDev=[47.30645007044811, 20.871122255908457, 6.981242865391759, 44.9535288717409], min=[0, 0, -51, -30], max=[641, 264, 99, 960], count=[4173, 4173, 4173, 4173], p10=[89.41095890410959, 32.51393662896069, -9.0, -10.263363606105273], p25=[113.49006622516556, 40.46966185174455, -6.000000000000001, -10.263363606105273], p75=[161.47733301181574, 58.62595419847328, 0.0, -2.578151755948897], p90=[188.91176470588235, 70.41529000990151, 3.0, 5.12497287914949]}]",9,East2,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
