grid_id,numeric_id,row,col,center_lon,center_lat,region,rh50_x10_mean,rh50_x10_median,rh50_x10_stdDev,rh50_x10_min,rh50_x10_max,rh50_x10_count,rh50_x10_p10,rh50_x10_p25,rh50_x10_p75,rh50_x10_p90,rh_non_ground50_x10_mean,rh_non_ground50_x10_median,rh_non_ground50_x10_stdDev,rh_non_ground50_x10_min,rh_non_ground50_x10_max,rh_non_ground50_x10_count,rh_non_ground50_x10_p10,rh_non_ground50_x10_p25,rh_non_ground50_x10_p75,rh_non_ground50_x10_p90
grid_0000_0000,0,0,0,25.112288896873878,48.11228889687388,East6c,83.59998306971568,65.5786965729688,81.32823002603168,-23,692,50830,1.4013764260078563,9.3662079317142,137.4431818181818,205.45182295762683,123.7912127185862,101.48116555087486,74.45440746083933,0,718,50830,45.55235250731138,65.49828871034298,173.51241103360363,233.55216813903806
grid_0001_0000,1,1,0,25.112288896873878,48.33686669062163,East6c,65.97024124734276,29.502118644067796,78.72528897070089,-24,614,56431,1.4425396400718526,5.440315847438899,105.4326738736058,177.5376712328767,113.79255579269994,93.53216416425653,71.65338171666123,0,680,56431,45.51365336897822,57.43934249850568,149.53642091842988,213.41368078175896
grid_0002_0000,2,2,0,25.112288896873878,48.56144448436939,East6c,55.813196932380414,9.358629018415439,78.61753702635825,-22,696,26901,1.441887583970136,1.441887583970136,93.51430945826624,177.57894736842104,102.31814111645862,77.40745309112656,70.25753703752889,0,757,26901,41.601434479870164,49.39383117759837,141.49812101361834,193.61327561327562
grid_0003_0000,3,3,0,25.112288896873878,48.78602227811714,East6c,62.157684957529916,29.36921148028019,69.12502498799394,-97,670,12462,1.365403429514757,5.37032728268122,113.56489895564897,169.57432432432435,100.00527287398916,81.33568334324302,60.0980695157598,0,670,12462,41.53896021419608,53.556246479178405,141.53424361811219,181.53250525894018
grid_0004_0000,4,4,0,25.112288896873878,49.01060007186489,East6c,71.24837801282642,60.55862068965517,67.71728946158977,-27,419,20501,0.479442635495065,6.450757760343063,120.50335570469798,170.525,104.37600211992155,89.48359429094727,57.372046798113956,0,595,20501,41.512745812090316,57.564432293239655,141.53061224489795,181.45984695223854
grid_0005_0000,5,5,0,25.112288896873878,49.23517786561265,East6c,68.6154588243056,37.47821046170633,76.20243293417231,-25,585,15591,1.4399446360841832,5.4833540575619235,117.43333333333334,181.432,115.06337184222977,97.54666666666667,67.95415066483663,0,595,15591,41.489002187505385,57.42669322709163,161.38297872340425,209.64150943396226
grid_0006_0000,6,6,0,25.112288896873878,49.459755659360404,East6c,56.26970067681064,13.255746927670565,73.53207731571015,-25,525,10653,1.3644882437163264,5.457093922373624,93.50943396226415,169.3827160493827,102.99746948370156,85.56428780630675,64.22902161266565,0,533,10653,41.51601935634748,53.357356384833835,145.43810587986587,185.53560098695806
grid_0007_0000,7,7,0,25.112288896873878,49.68433345310816,East6c,39.795764016094246,8.568270581218615,57.77672571255684,-73,367,13985,0.503456200186033,2.5508206087046847,64.5,132.5,92.1765028951445,74.48302078053725,54.34906879077357,0,431,13985,40.520937834639014,50.48947873559067,124.53827713794361,168.37034731731606
grid_0008_0000,8,8,0,25.112288896873878,49.90891124685591,East6c,79.43782715050834,53.45698351330934,83.55083110329484,-17,599,55617,1.5592873989468221,5.428347361529683,133.5709100769696,209.4676869487882,132.0835584203905,121.47574994045605,71.33584562960759,0,628,55617,49.52652861497113,73.44024852016136,181.43385437147725,237.42314487632507
grid_0009_0000,9,9,0,25.112288896873878,50.13348904060366,East6c,96.2295492030853,92.58241758241758,77.17209459649376,-18,285,31462,2.6105326334168026,14.595336914062498,164.4722872053266,204.491452991453,140.3322864671501,142.47082022422123,67.55241466356902,0,509,31462,48.52340448391949,78.50396825396825,198.44975232662864,230.5
grid_0010_0000,10,10,0,25.112288896873878,50.35806683435142,East6c,74.71946178562045,48.47142857142857,75.63774174085786,-25,426,14853,0.47896115630311364,4.419104162133598,140.59302325581396,190.50632911392404,124.4782186276369,120.54190766642128,66.44871606330517,0,444,14853,44.445402298850574,60.47078145290658,178.48461538461538,216.4787234042553
grid_0011_0000,11,11,0,25.112288896873878,50.582644628099175,East6c,38.73258611123041,6.436079184946158,62.332686969520545,-27,437,9060,0.4733132650826417,0.4733132650826417,56.4,146.43478260869566,93.25874127087624,72.48,56.58889452699408,0,451,9060,40.59104527296937,48.48051948051948,132.46875,170.56603773584905
grid_0012_0000,12,12,0,25.112288896873878,50.80722242184693,East6c,55.569801793377096,13.329020757863262,68.39784158072628,-19,668,24132,1.3562862275420298,1.3562862275420298,109.57476635514018,161.51363636363635,113.34200451356138,109.43532338308458,60.26313019788024,0,706,24132,41.48808622119922,57.50208863651198,157.4559153874953,189.33229813664596
grid_0013_0000,13,13,0,25.112288896873878,51.031800215594686,East6c,58.25658908977697,18.475206611570247,68.44806084234635,-21,364,18312,0.4990448368518451,2.554916132833395,114.54455445544555,170.52238805970148,109.93728823807648,96.4625,60.15023486135499,0,392,18312,42.53821079319088,54.46300765358892,164.55,196.51162790697674
grid_0014_0000,14,14,0,25.112288896873878,51.256378009342434,East6c,66.81356061573909,45.4088264572503,66.06966123124559,-20,574,70118,1.528629993501536,5.384999919396901,117.51818006736707,165.4318181818182,119.22427969853054,113.53153754989324,56.94231087306163,0,585,70118,45.49741230592293,69.48869291526991,165.55927245302857,197.49212404627124
grid_0015_0000,15,15,0,25.112288896873878,51.48095580309019,East6c,65.9671670089827,37.47477197551233,68.66061940155731,-37,764,169341,1.561505615575022,9.468541119159031,117.54218980895781,165.45138529875223,128.28059195567488,129.5511006490025,62.80340086399955,0,776,169341,49.52348788119181,73.46223541978505,177.5081183923396,201.48153241191963
grid_0016_0000,16,16,0,25.112288896873878,51.705533596837945,East6c,55.56876420024544,27.428466073363644,62.064768871086414,-67,994,120163,3.07449564549195,3.07449564549195,91.44631278418103,139.40604338478,103.41379663973562,91.53478383802636,58.45705888178326,0,1160,120163,43.41367137483307,59.43365782517746,131.43315455283994,171.4558565232954
grid_0017_0000,17,17,0,25.112288896873878,51.9301113905857,East6c,74.13370887880005,62.56108138909114,64.2180827303542,-13,260,13947,2.6326626436881555,10.476976919072134,126.45267224726337,168.32394366197184,108.08605652177219,102.4375,52.5775044562494,0,264,13947,42.50827983808316,62.431711768907235,146.4635908018868,184.39506172839506
grid_0000_0001,18,0,1,25.336866690621633,48.11228889687388,East6c,85.42927022400465,61.713112828438945,86.3331108983519,-25,689,62235,1.4723192773390863,13.449807967085865,133.41958799874425,221.45880028693392,135.97086565919767,109.44831150093816,83.28556171503688,0,736,62235,49.503635590302395,65.50077017336453,197.4495268043419,265.480961873281
grid_0001_0001,19,1,1,25.336866690621633,48.33686669062163,East6c,54.94227852600022,17.508487683571268,71.49983592743692,-20,500,32365,1.4844444416438929,5.323915315279255,89.60591570125709,169.35263157894738,104.67430048177091,81.44014457621458,64.35545805429253,0,520,32365,41.650463384951934,53.4924107452464,145.5982153908474,201.54424778761063
grid_0002_0001,20,2,1,25.336866690621633,48.56144448436939,East6c,29.98002861133647,4.361911347762949,61.5859593498639,-24,484,11399,0.50169238048858,0.50169238048858,22.535714285714285,98.59375,76.83143171500102,53.48481524108039,59.07268914806423,0,514,11399,37.65107966673263,45.476490069224106,85.40807892515475,145.4
grid_0003_0001,21,3,1,25.336866690621633,48.78602227811714,East6c,62.367463464215845,33.605839416058394,72.02747604264759,-24,963,11499,1.3364793290156263,1.3364793290156263,113.41636155941536,165.53824499316335,100.94778615782774,85.4812230381219,68.1666768258871,0,962,11499,41.561818367138926,53.49524501077486,133.63841807909606,181.57553956834533
grid_0004_0001,22,4,1,25.336866690621633,49.01060007186489,East6c,70.43888289701123,54.516129032258064,67.97636689372159,-22,314,13354,0.49026064342504483,6.46214913131425,128.43478260869566,170.4351851851852,110.4064138156391,105.55184344061604,56.62346127655631,0,835,13354,45.48356044505563,57.46614226043477,157.5306859205776,185.55154639175257
grid_0005_0001,23,5,1,25.336866690621633,49.23517786561265,East6c,46.19971143542595,8.676923076923076,63.250074935063274,-11,245,2790,0.5074280363256826,2.557586193401949,76.4375,164.25,89.57074332096762,68.0,52.29302013074224,0,250,2790,40.0,48.0,122.0,178.0
grid_0006_0001,24,6,1,25.336866690621633,49.459755659360404,East6c,32.12833806766319,6.431746031746032,53.8962371090677,-26,248,4299,0.5076070010155382,0.5076070010155382,34.7,126.55555555555556,84.25544660917316,64.43037974683544,48.31517887547276,0,276,4299,40.490134470029886,48.519417475728154,108.4054054054054,164.72222222222223
grid_0007_0001,25,7,1,25.336866690621633,49.68433345310816,East6c,37.25123065954448,5.444391395890383,57.81315788040865,-32,614,12011,1.3725838740400433,1.3725838740400433,57.50806451612903,133.3370786516854,96.60906435830576,81.55168530066203,59.827432025812534,0,640,12011,41.52276000501819,49.51127195585745,133.5009112210362,169.52287581699346
grid_0008_0001,26,8,1,25.336866690621633,49.90891124685591,East6c,64.28085590173151,17.4749105914718,80.86753383031294,-25,578,28961,1.3748812474748024,1.3748812474748024,113.4452296819788,189.5050505050505,112.71462401804725,93.63247503483511,68.78323587184518,0,593,28961,45.54436164432464,57.47591525361728,157.55549054378844,209.5465690862127
