grid_id,numeric_id,row,col,center_lon,center_lat,region,rh50_x10_mean,rh50_x10_median,rh50_x10_stdDev,rh50_x10_min,rh50_x10_max,rh50_x10_count,rh50_x10_p10,rh50_x10_p25,rh50_x10_p75,rh50_x10_p90,rh_non_ground50_x10_mean,rh_non_ground50_x10_median,rh_non_ground50_x10_stdDev,rh_non_ground50_x10_min,rh_non_ground50_x10_max,rh_non_ground50_x10_count,rh_non_ground50_x10_p10,rh_non_ground50_x10_p25,rh_non_ground50_x10_p75,rh_non_ground50_x10_p90
grid_0000_0000,0,0,0,-4.887711103126123,34.11228889687388,Central1,11.043576664955134,2.5602387110847955,28.81287545399295,-23,417,8689,-3.4360182070057395,0.5091217746447779,6.431075527844693,30.424242424242426,56.47150479869893,49.4234057584452,31.162872353219495,0,820,8689,37.75117417207464,41.51186160151324,65.43078568334415,89.5909090909091
grid_0001_0000,1,1,0,-4.887711103126123,34.33686669062163,Central1,3.792957146898494,1.0,10.630259209664468,-29,154,11548,-2.9999999999999996,-1.0,5.0,12.0,50.71831715756144,49.0,18.845893006210613,0,170,11548,36.0,41.0,60.0,74.0
grid_0002_0000,2,2,0,-4.887711103126123,34.56144448436939,Central1,14.63826326260643,4.363038439364169,27.144034017820545,-33,403,11972,-3.3832648560664733,0.4982434034659422,16.331844400675294,50.432432432432435,58.56559977007633,54.492597231323046,26.33473128755162,0,473,11972,38.488227835911914,44.48656384162824,70.40728476821192,88.453125
grid_0003_0000,3,3,0,-4.887711103126123,34.78602227811714,Central1,11.126113091878866,2.5641619295651417,23.24183362986608,-28,360,11268,-3.434960310758318,0.5043103968704344,10.47877358490566,36.62186923279726,58.28149042871782,54.47250796619563,25.42422400912018,0,510,11268,36.58386714661944,42.50008044952721,70.43887261545635,88.52182226844242
grid_0004_0000,4,4,0,-4.887711103126123,35.01060007186489,Central1,18.97907641588551,4.336819782714103,36.35649138201971,-33,456,9508,-3.4343948656188545,0.5076730782584542,20.322033898305083,66.38095238095238,62.52994253419648,57.46989165875074,33.4774349597902,0,518,9508,37.63455657492355,45.46132250879033,73.42891995692408,97.52713178294573
grid_0005_0000,5,5,0,-4.887711103126123,35.23517786561265,Central1,28.33198875705366,12.535087719298245,36.4078834191473,-23,358,3477,-1.3160298856272794,2.6182872824798853,50.422222222222224,80.68181818181819,62.746949012628555,58.43,28.608046772091235,0,445,3477,36.62352941176471,44.5253164556962,76.3875,94.625
grid_0006_0000,6,6,0,-4.887711103126123,35.459755659360404,Central1,8.589314067958082,1.0,17.173526137634052,-9,79,50,-4.0,-1.0,13.0,42.0,58.95196887900921,58.0,20.91476990071849,0,107,50,40.0,45.0,67.0,91.0
grid_0008_0000,8,8,0,-4.887711103126123,35.90891124685591,Central1,190.0,190.0,0.0,190,190,2,190.0,190.0,190.0,190.0,215.0,215.0,0.0,215,215,2,215.0,215.0,215.0,215.0
grid_0010_0000,10,10,0,-4.887711103126123,36.35806683435142,Central1,20.272521987164247,9.0,21.239143369558583,0,84,34,1.0,4.0,37.0,49.0,75.48716425005942,64.0,36.119383460846834,1,167,34,40.0,53.0,97.0,125.0
grid_0011_0000,11,11,0,-4.887711103126123,36.582644628099175,Central1,31.97523123538074,13.38242140418994,41.69528289650698,-30,717,22556,-2.1115595231971422,1.4937783931564033,53.42894736842105,89.50727595621174,71.93110054494973,65.4803103728914,37.16401873335043,0,732,22556,37.675694828246804,49.50847319193039,85.43374070923143,113.5
grid_0012_0000,12,12,0,-4.887711103126123,36.80722242184693,Central1,25.999252720423954,8.630604184156999,36.991182636213246,-26,461,19611,-1.3266040219473734,0.5333190973571781,40.370165745856355,80.5,66.69798714951375,57.45591783986551,33.58884678848712,0,656,19611,37.70915546754853,45.413854014080584,81.43013698630136,109.58110923147902
grid_0013_0000,13,13,0,-4.887711103126123,37.031800215594686,Central1,8.049003602661992,1.2282390272409445,24.283568733269743,-27,631,6796,-1.9172880215343202,1.2282390272409445,5.126859505957929,21.325842696629213,55.03940787313449,45.35652831465784,34.79756766371779,0,641,6796,37.68516538800151,37.68516538800151,61.463216490987335,85.55407583934954
grid_0014_0000,14,14,0,-4.887711103126123,37.256378009342434,Central1,6.852384632788119,2.514098111845561,18.51684688073906,-24,317,8175,-1.2484298533859897,0.5826195020194399,4.280480795909469,16.36778846153846,50.69227004014298,41.33384967604338,29.098693901810012,0,858,8175,37.624586169369366,37.624586169369366,57.347692307692306,77.23076923076923
grid_0015_0000,15,15,0,-4.887711103126123,37.48095580309019,Central1,4.465702969901934,0.5429426127328297,13.740487191014163,-20,314,5915,-1.2334058229738063,0.5429426127328297,4.275112763623064,8.568627450980392,45.414171463535475,40.412073956216695,18.127097575996874,0,327,5915,34.638193688792164,36.52421565488815,46.50185873605948,62.3728813559322
grid_0016_0000,16,16,0,-4.887711103126123,37.705533596837945,Central1,4.838807324675151,1.0,14.25895654616031,-15,225,4684,-1.0,0.0,4.0,10.0,47.925566410902476,42.0,20.646595517269088,0,254,4684,35.025417439703155,38.0,51.0,68.0
grid_0017_0000,17,17,0,-4.887711103126123,37.9301113905857,Central1,24.79468562926742,10.403287548244437,33.888558751393845,-24,470,42584,0.5633098107673566,4.412701253672847,32.59743458775456,70.50442477876106,65.24918706928976,58.47280831019267,29.37109002566426,0,493,42584,40.5003837486528,48.4784415670775,74.50762987661666,96.48324022346368
grid_0018_0000,18,18,0,-4.887711103126123,38.154689184333456,Central1,16.175367505871264,5.343572543842852,25.759347488455578,-28,661,54325,1.5074672398027769,1.5074672398027769,17.350547453492783,53.452514962939475,55.160105289775,49.45067320715203,23.301431432034935,0,740,54325,37.687837750482096,41.54638536569802,61.40710805419022,77.44176313976335
