rh,wf,gau,mir,wf_noground_gau,wf_noground_mir,wf_noground_neg,rh_noground_gau,rh_noground_mir,rh_noground_neg
-2.2,0.14285727909646084,0.04426004589300787,0.14285727909646084,0.0,0.0,0.0,0.6700000166893005,0.14000000059604645,-0.029999999329447746
-2.13,0.12265518976022588,0.04775191378785343,0.12265518976022588,0.0,0.0,0.0,1.3751227833071116,1.5112808469406263,0.059751681739950796
-2.02,0.11064597358248408,0.053537806364510436,0.11064597358248408,0.0,0.0,0.0,1.5231915409703638,1.9349883660302558,0.12300923759497863
-1.94,0.11064600605849632,0.05796023763357285,0.11064600605849632,0.0,0.0,0.0,1.6612658445303008,2.2363091424035186,0.1872867658369731
-1.83,0.09090907908668358,0.06430604823854559,0.09090907908668358,0.0,0.0,0.0,1.7634414814970638,2.2841204554539267,0.2506533882254099
-1.72,0.11064588583783302,0.07091537378129055,0.11064588583783302,0.0,0.0,0.0,1.8572585187254556,2.330186464999312,0.313979698527902
-1.64,0.11064588583783305,0.07585554449592653,0.11064588583783305,0.0,0.0,0.0,1.947497466023696,2.377677195179898,0.37951798082871085
-1.53,0.12265521469419205,0.08278045899116715,0.12265521469419205,0.0,0.0,0.0,2.032697279522682,2.426243195949013,0.4431903804489829
-1.46,0.12092741688083453,0.08723701764997585,0.12092741688083453,0.0,0.0,0.0,2.113915778667251,2.474809148031569,0.5062988413269708
-1.34,0.12092723964044994,0.09489852969130574,0.12092723964044994,0.0,0.0,0.0,2.1848307024993274,2.5233750960321637,0.5715080514256489
-1.27,0.12265504499585339,0.09934322961346981,0.12265504499585339,0.0,0.0,0.0,2.250214550544402,2.571941018702908,0.6394491903293005
-1.16,0.1106460060584964,0.10622384044314534,0.1106460060584964,0.0,0.0,0.0,2.3211431368725974,2.6204808282272665,0.7039188063753019
-1.08,0.13452380049545076,0.11110150274379148,0.13452380049545076,0.0,0.0,0.0,2.3930727771073474,2.666546812968513,0.7668035276008308
-1.01,0.12092723964045016,0.115249272713911,0.12092723964045016,0.0,0.0,0.0,2.463937377967346,2.7126127977097587,0.8326917065743163
-0.89,0.12092732826054875,0.12202417033357855,0.12092732826054875,0.0,0.0,0.0,2.5329895452237072,2.757468274756,0.9043199014395812
-0.82,0.12265512984493132,0.12573896546300967,0.12265512984493132,0.0,0.0,0.0,2.5993196589997307,2.8016012091747298,0.9714730738346631
-0.71,0.11064594594810573,0.13115409657509014,0.11064594594810573,0.0,0.0,0.0,2.6607580807806372,2.846037986192025,1.034905253990496
-0.63,0.13452382900513826,0.13472426145106478,0.13452382900513826,0.0,0.0,0.0,2.720105729016333,2.8904747632093204,1.0982310572756877
-0.56,0.12092732826054908,0.1375654309877577,0.12092732826054908,0.0,0.0,0.0,2.775476274912626,2.9348057666122647,1.1661721946310966
-0.44,0.1209273282605492,0.14176400679087026,0.1209273282605492,0.0,0.0,0.0,2.829505086619935,2.978927333899888,1.2365072640098618
-0.37,0.13452380892996407,0.1437921751022565,0.13452380892996407,0.0,0.0,0.0,2.883088308658182,3.02450536942852,1.308135440679588
-0.29,0.13452380892996385,0.1457069232719089,0.13452380892996385,0.0,0.0,0.0,2.9361355896462245,3.0705713789739053,1.3797636355448142
-0.22,0.12265513296169173,0.14701598065025293,0.12265513296169173,0.0,0.0,0.0,2.987996259614374,3.1175403007557145,1.4444387553188978
-0.11,0.11064593310159676,0.14835909880220727,0.11064593310159676,0.0,0.0,0.0,3.041348058978752,3.1661063015248296,1.5067984923689568
-0.03,0.14880952612595122,0.14877597624314598,0.14880952612595122,0.0,0.0,0.0,3.0947597868427077,3.2180674876633417,1.5723649833157654
0.03,0.13992870137918212,0.14877597624314598,0.14880952612595122,0.0,0.0,0.13992870137918212,3.1501311869266027,3.2713891833770963,1.6402912869963155
0.14,0.11064593447260407,0.14808059300242643,0.11392116957497062,0.0,0.0,0.11064593447260407,3.2080352941715518,3.324710848868994,1.704943386958024
0.22,0.13452381896754861,0.14701598065025293,0.12265513296169173,0.0,0.011868686005856888,0.13452381896754861,3.2686335488554716,3.3780324981569896,1.767599344033357
0.29,0.12092732826054942,0.1457069232719089,0.13452380892996385,0.0,0.0,0.12092732826054942,3.328463342440186,3.428557690182671,1.8318783053641055
0.41,0.12092732826054853,0.14267258202457703,0.12675439223153667,0.0,0.0,0.12092732826054853,3.3878746173800343,3.477123599669598,1.8974165876648632
0.48,0.13452380892996385,0.14046299865199355,0.12092732826054915,0.0,0.013596480669414698,0.13452380892996385,3.4421282130226944,3.5301635639757114,1.9625792774178952
0.56,0.1106459158929547,0.1375654309877577,0.12092732826054908,0.0,0.0,0.1106459158929547,3.49645013473752,3.5834851960805363,2.02975274552606
0.67,0.12265512984493121,0.1329804876517437,0.12258487858141554,0.0,7.02512635156749e-05,0.12265512984493121,3.554269995201336,3.6368068432691305,2.097321467066427
0.74,0.13452382900513848,0.12973250731921004,0.11392118087783108,0.00479132168592844,0.020602648127307402,0.13452382900513848,3.6118189794477793,3.6901284925571267,2.1619736113419847
0.82,0.1106459459481055,0.12573896546300967,0.12265512984493132,0.0,0.0,0.1106459459481055,3.668929828296766,3.739574854310833,2.2239815166219765
0.93,0.1106459459481055,0.119818758443497,0.12092729872050122,0.0,0.0,0.1106459459481055,3.7234061552719404,3.7889379510337013,2.2902831913444612
1.01,0.13452376034498625,0.115249272713911,0.12092723964045016,0.019274487631075254,0.013596520704536097,0.13452376034498625,3.774739118423348,3.842259600321697,2.3586706703029443
1.08,0.12265504499585322,0.11110150274379148,0.13452380049545076,0.011553542252061746,0.0,0.12265504499585322,3.8304111222903416,3.896312894296704,2.4302989605590266
1.19,0.11064600605849684,0.10436411148450603,0.1139212079610074,0.006281894573990809,0.0,0.11064600605849684,3.8865785897931087,3.9566245973214587,2.501927173313428
1.27,0.11064600605849617,0.09934322961346981,0.12265504499585339,0.011302776445026363,0.0,0.11064600605849617,3.9494607381713998,4.017287809494922,2.5735553594577762
1.38,0.11064588583783319,0.09234671415486766,0.12092729872051944,0.018299171682965534,0.0,0.11064588583783319,4.01295772403788,4.07885126850853,2.6438871908867214
1.46,0.13452385751517193,0.08723701764997585,0.12092741688083453,0.04728683986519608,0.013596440634337403,0.13452385751517193,4.077163732468569,4.136975424513537,2.7118282955419124
1.53,0.12265521469419194,0.08278045899116715,0.12265521469419205,0.03987475570302479,0.0,0.12265521469419194,4.1375974081886016,4.188167243610037,2.7776686743731642
