grid_id,numeric_id,row,col,center_lon,center_lat,region,rh50_x10_mean,rh50_x10_median,rh50_x10_stdDev,rh50_x10_min,rh50_x10_max,rh50_x10_count,rh50_x10_p10,rh50_x10_p25,rh50_x10_p75,rh50_x10_p90,rh_non_ground50_x10_mean,rh_non_ground50_x10_median,rh_non_ground50_x10_stdDev,rh_non_ground50_x10_min,rh_non_ground50_x10_max,rh_non_ground50_x10_count,rh_non_ground50_x10_p10,rh_non_ground50_x10_p25,rh_non_ground50_x10_p75,rh_non_ground50_x10_p90
grid_0016_0000,16,16,0,-4.887711103126123,47.705533596837945,East4a,78.87755102040816,81.0,31.53464738726649,6,141,49,36.0,58.0,101.0,123.0,94.08163265306122,92.0,26.995719036803514,49,145,49,52.0,74.0,117.0,134.0
grid_0017_0000,17,17,0,-4.887711103126123,47.9301113905857,East4a,35.267498735031204,38.0,29.813977659629533,-1,102,24,1.0,7.0,54.0,70.0,64.64445943666723,69.0,18.019231624387686,36,108,24,39.0,50.0,77.0,80.0
grid_0017_0001,35,17,1,-4.663133309378369,47.9301113905857,East4a,28.482984343116502,12.0,36.40979319918749,-4,213,832,1.0,3.0,43.0,84.0,67.61511909529531,59.0,29.678892691043814,1,224,832,39.0,46.0,82.0,108.0
grid_0016_0002,52,16,2,-4.438555515630615,47.705533596837945,East4a,9.043468248028095,4.0,14.751695576666869,-3,84,206,0.0,1.0,8.0,28.0,50.79029688909359,46.0,18.641245063897532,0,125,206,34.0,40.0,56.0,74.0
grid_0017_0002,53,17,2,-4.438555515630615,47.9301113905857,East4a,34.96250532166872,13.338461538461539,45.23837858991595,-15,516,7065,1.3619376804155268,1.3619376804155268,57.287234042553195,105.42859276964445,79.67016367025798,69.46871909816072,43.18048962530282,0,904,7065,41.412698839449746,49.52662285975579,101.48027264756625,133.32864318027998
grid_0016_0003,70,16,3,-4.21397772188286,47.705533596837945,East4a,18.18478439833083,6.0,31.453837853533038,-3,175,2085,0.0,2.0,16.0,63.0,64.21753957665048,54.0,30.70704672035074,0,188,2085,37.0,42.0,79.0,112.0
grid_0017_0003,71,17,3,-4.21397772188286,47.9301113905857,East4a,40.8764538824885,14.613013858897304,50.20280751375433,-81,299,26481,0.50085015330224,2.587105462898903,70.41648235734459,122.46689794738364,87.1517214597594,81.43590603054793,39.58729938103991,0,619,26481,41.60129716228964,57.467032353342674,109.52192328137592,141.40039398928428
grid_0016_0004,88,16,4,-3.9893999281351062,47.705533596837945,East4a,21.541666666666668,7.0,25.273469565710382,0,71,24,1.0,3.5,54.0,59.0,51.125,54.0,13.42358775936349,26,73,24,35.0,40.0,59.5,70.0
grid_0017_0004,89,17,4,-3.9893999281351062,47.9301113905857,East4a,40.143764476523565,14.617818814356935,48.768322015657596,-18,437,24263,0.5234229697326932,4.377752116655359,68.35031847133757,118.45161290322581,85.63447465043046,77.52160016977929,40.0991434486897,0,746,24263,41.53760588785972,53.51121749231208,109.57801536266443,141.4751902167089
grid_0016_0005,106,16,5,-3.7648221343873516,47.705533596837945,East4a,43.98474133372047,16.0,52.30211941677937,-10,223,1526,1.0,5.0,74.0,134.0,88.2353894252206,81.0,41.33800477714611,0,227,1526,42.0,55.0,115.0,146.0
grid_0017_0005,107,17,5,-3.7648221343873516,47.9301113905857,East4a,41.951054665615686,14.569520593991365,50.89257937553294,-13,353,26195,0.506362424883707,2.5518633373366555,72.42458100558659,122.40209017217123,90.09392520105207,84.53305570872459,39.5391252695636,0,368,26195,44.47701945955473,58.46046199847857,114.4,144.48797934007135
grid_0013_0006,121,13,6,-3.540244340639598,47.031800215594686,East4a,31.0,31.0,0.0,31,31,2,31.0,31.0,31.0,31.0,59.0,59.0,0.0,59,59,2,59.0,59.0,59.0,59.0
grid_0014_0006,122,14,6,-3.540244340639598,47.256378009342434,East4a,38.4,47.0,19.298704619740672,10,61,10,10.0,20.0,57.0,59.0,65.7,65.0,9.869650449737309,50,85,10,50.5,63.0,70.0,80.0
grid_0016_0006,124,16,6,-3.540244340639598,47.705533596837945,East4a,48.604081883907426,20.48936170212766,55.00069466406791,-21,478,8707,0.4981925980980051,4.353022582430841,90.62013618677042,134.42307692307693,92.06380189768541,86.55414131379611,42.96738167594161,0,476,8707,42.45679304557387,56.39887640449438,120.40384615384616,150.47435897435898
grid_0017_0006,125,17,6,-3.540244340639598,47.9301113905857,East4a,53.84357548741465,26.55826483800058,60.623860074422744,-13,497,35619,0.5005819590329287,4.402258580089083,94.49090909090908,142.4852071005917,102.09499961327461,94.4634361068445,48.05816195296567,0,505,35619,48.49647887323944,66.50155279503106,130.4309689195356,162.4004692927352
grid_0014_0007,140,14,7,-3.315666546891843,47.256378009342434,East4a,35.927754156421706,12.681818181818182,49.9000238454839,-10,335,889,0.5848378693972873,2.610526315789474,58.44444444444444,103.0,76.74332265194352,64.47619047619048,43.30772979523262,0,336,889,38.44581280788177,46.499168053244595,94.11111111111111,128.66666666666666
grid_0015_0007,141,15,7,-3.315666546891843,47.48095580309019,East4a,31.982408031419208,12.166666666666666,44.51276553976442,-7,300,169,0.6400334658021334,4.3478260869565215,48.0,99.0,70.30956752108945,52.166666666666664,40.88829497818626,19,300,169,36.714285714285715,42.44444444444444,86.0,130.33333333333334
grid_0016_0007,142,16,7,-3.315666546891843,47.705533596837945,East4a,51.78095426328615,24.55421686746988,56.17768610434465,-33,289,17147,0.5301250042653867,4.359506909074885,94.4957264957265,140.48039215686273,95.02763751807352,88.46009158501157,44.73317736076701,0,350,17147,42.46763020455534,56.45972687524842,126.51813471502591,158.49193548387098
grid_0017_0007,143,17,7,-3.315666546891843,47.9301113905857,East4a,63.17682604105811,44.374468085106386,62.79710230020246,-18,487,38330,0.48421201806479913,6.487950549705432,108.45198806134,150.54644808743168,109.58935614795679,105.53564153609227,49.4538798379306,0,610,38330,49.51699441126074,73.56609751429968,137.52990511625012,169.57839417166275
grid_0013_0008,157,13,8,-3.0910887531440894,47.031800215594686,East4a,54.26372888938597,51.0,25.459056939464855,7,104,36,12.0,41.0,70.0,93.0,74.90370204675092,69.0,16.045724594974754,44,106,36,59.0,64.0,87.0,104.0
grid_0014_0008,158,14,8,-3.0910887531440894,47.256378009342434,East4a,41.682606424653954,12.475609756097562,60.7326550963881,-14,399,2553,0.5436105476673428,2.6212765957446806,62.76923076923077,116.33333333333333,84.06821624445024,66.375,56.39922329203737,0,418,2553,38.53620829943043,48.45263157894737,98.58064516129032,148.8181818181818
grid_0015_0008,159,15,8,-3.0910887531440894,47.48095580309019,East4a,25.161536824153696,6.455816261016751,40.83963376992021,-9,292,3136,0.5721758267024692,2.6009280742459397,24.45,90.63157894736842,69.98150762832374,56.548212437295966,38.045856820498145,0,329,3136,36.51724137931034,42.55194805194805,86.66666666666667,126.54545454545455
