grid_id,numeric_id,row,col,center_lon,center_lat,region,rh100_x10_mean,rh100_x10_median,rh100_x10_stdDev,rh100_x10_min,rh100_x10_max,rh100_x10_count,rh100_x10_p10,rh100_x10_p25,rh100_x10_p75,rh100_x10_p90
grid_0000_0000,0,0,0,25.112288896873878,44.11228889687388,East6a,159.97791024374382,152.34848484848484,70.57359193357506,58,390,8552,76.56925637340193,96.50819672131148,210.46666666666667,264.43333333333334
grid_0001_0000,1,1,0,25.112288896873878,44.33686669062163,East6a,169.51996248998188,157.4093023255814,93.77927845736924,58,864,8876,77.35231316725978,105.45989304812834,201.47794117647058,261.2413793103448
grid_0002_0000,2,2,0,25.112288896873878,44.56144448436939,East6a,156.36723997601808,164.33734939759037,53.40825880653211,59,347,5863,78.5340909090909,106.52380952380952,200.4255319148936,220.5723199092456
grid_0003_0000,3,3,0,25.112288896873878,44.78602227811714,East6a,169.1834471704483,158.4794170090705,79.31244698029556,59,494,20513,76.4890352705745,96.39804725759059,230.45840702832785,278.57647449619844
grid_0004_0000,4,4,0,25.112288896873878,45.01060007186489,East6a,212.39358942929778,209.51748578030572,95.75072078696536,56,1010,41195,89.47516526451042,129.39986851650346,277.4957994260602,337.51481094966687
grid_0005_0000,5,5,0,25.112288896873878,45.23517786561265,East6a,192.46257150206526,165.38679579079795,104.81001696328721,57,977,23645,81.51864301597972,105.49418604651163,257.4537037037037,345.46153846153845
grid_0006_0000,6,6,0,25.112288896873878,45.459755659360404,East6a,227.90161938019966,227.1696113074205,108.4621284585079,59,1133,11491,91.34072062319989,131.35655737704917,307.44444444444446,371.2098512446873
grid_0007_0000,7,7,0,25.112288896873878,45.68433345310816,East6a,228.44064018508908,209.44607843137254,108.81447213855664,57,901,14724,93.54075408121768,137.4667856756464,305.5,381.3736263736264
grid_0008_0000,8,8,0,25.112288896873878,45.90891124685591,East6a,210.26671168717354,203.51960784313727,128.9628516441198,55,1090,13081,83.2138803912403,115.32424129899066,267.6208251473477,306.8758865248227
grid_0009_0000,9,9,0,25.112288896873878,46.13348904060366,East6a,201.2684351614082,189.51961387869684,108.11737487710259,55,1073,31293,77.52064553708539,109.50808184830304,277.6223776223776,333.6156862745098
grid_0010_0000,10,10,0,25.112288896873878,46.35806683435142,East6a,184.70141764755056,161.5804279170937,103.88163341014827,54,1047,49570,77.50239384237788,97.43388001905119,257.58454439822845,325.5440729483283
grid_0011_0000,11,11,0,25.112288896873878,46.582644628099175,East6a,213.6712002950211,203.5688235498224,105.64311575390018,55,1098,60069,83.40525827207581,123.48708358161095,291.5919077412294,363.6077094625113
grid_0012_0000,12,12,0,25.112288896873878,46.80722242184693,East6a,259.41025720703936,259.6190218083689,102.95056666583072,57,1102,60214,115.62705823590663,179.4398715795588,331.54770875911703,387.42640923050567
grid_0013_0000,13,13,0,25.112288896873878,47.031800215594686,East6a,273.0633650454189,275.579034803985,111.9026892784295,57,1184,31195,115.47629310344827,187.5481880726673,355.25558754470813,411.2393368210494
grid_0014_0000,14,14,0,25.112288896873878,47.256378009342434,East6a,261.7268713376496,275.7898654087873,113.41557422397285,55,1105,39248,99.51483035254287,171.56521739130434,347.41857659495804,387.56128150109345
grid_0015_0000,15,15,0,25.112288896873878,47.48095580309019,East6a,249.56087785887948,257.4,112.87732425544507,57,997,17561,93.54591502077109,149.52330403764748,337.53225806451616,393.3718184203621
grid_0016_0000,16,16,0,25.112288896873878,47.705533596837945,East6a,228.84391974641943,243.47804222439336,97.80771847485067,55,1438,28568,91.33952312932645,147.661901780501,299.55480387717665,339.4516129032258
grid_0017_0000,17,17,0,25.112288896873878,47.9301113905857,East6a,224.82726644177322,211.35950292725602,120.24130908867166,55,1355,28392,83.50876067452705,115.46450877097702,315.42478415307625,379.59752592998683
grid_0000_0001,18,0,1,25.336866690621633,44.11228889687388,East6a,158.02318305721113,140.2412308367386,91.65634860872304,56,1081,4913,75.53668763102725,91.39236111111111,187.2761423864776,275.88422767538947
grid_0001_0001,19,1,1,25.336866690621633,44.33686669062163,East6a,160.75899314141742,149.79073443579767,94.5167117414562,60,1031,4889,73.46636496648406,89.53191489361703,201.17241379310346,253.5
grid_0002_0001,20,2,1,25.336866690621633,44.56144448436939,East6a,165.2390900409136,169.54088590702182,70.78735074520287,55,670,7201,81.46094801480486,113.57051436270028,201.51269035532994,229.41652860344996
