rh,wf,gau,mir,wf_noground_gau,wf_noground_mir,wf_noground_neg,rh_noground_gau,rh_noground_mir,rh_noground_neg
-4.41,0.02439025297965184,0.0016646039138194554,0.02439025297965184,0.0,0.0,0.0,0.0,0.07000000029802322,-0.07000000029802322
-4.0,0.027666254902072612,0.003928047369878429,0.027666254902072612,0.0,0.0,0.0,0.270529495769382,0.22641882559247084,0.010786006911945164
-3.67,0.031890323470193396,0.007377025008430155,0.031890323470193396,0.0,0.0,0.0,0.3526573632583955,0.26725677715976265,0.04982889428745454
-3.37,0.035282643062791524,0.012481476468615792,0.035282643062791524,0.0,0.0,0.0,1.6100625935373674,0.2980421034641322,0.08582326309504024
-3.1,0.04814818490847661,0.019282786407924003,0.04814818490847661,0.0,0.0,0.0,1.7407996410024726,0.35840037249483353,0.12045442153528205
-2.92,0.05413310086137692,0.025254951553629567,0.05413310086137692,0.0,0.0,0.0,1.8573590649923315,0.5121371571877155,0.16043883796992303
-2.73,0.052631563096830564,0.03299371933607394,0.052631563096830564,0.0,0.0,0.0,1.9521607356252664,0.6132645036461769,0.1971699468002151
-2.54,0.060474749080477064,0.04233587254817301,0.060474749080477064,0.0,0.0,0.0,2.019171719963941,1.0970411626382828,0.2307850721795618
-2.39,0.06666667726313383,0.0508950389965697,0.06666667726313383,0.0,0.0,0.0,2.0802111100938117,1.3759401861063987,0.26327043798085237
-2.24,0.06666662428116843,0.06050292710701964,0.06666662428116843,0.0,0.0,0.0,2.1426518919957886,1.5504807465848516,0.2882548309788973
-2.09,0.08065272214340846,0.07112317971057945,0.08065272214340846,0.0,0.0,0.0,2.2103370903644337,1.6390157321551617,0.321267099432679
-1.98,0.08065273985625027,0.07951038981569306,0.08065273985625027,0.0,0.0,0.0,2.2776845793618934,1.7124504990471703,0.3548822248297079
-1.83,0.08065267660513442,0.09166931180818785,0.08065267660513442,0.0,0.0,0.0,2.3401792728359654,1.7939240426194991,0.39825942202220715
-1.72,0.09090907908668366,0.10103022743617736,0.09090907908668366,0.0,0.0,0.0,2.3948334472391233,1.8797233065369372,0.4475451903055786
-1.61,0.08728589458066482,0.11067811713387102,0.08728589458066482,0.0,0.0,0.0,2.4467674424245067,1.9553045596498566,0.4878451503585101
-1.49,0.08728589458066482,0.12141954762501628,0.08728589458066482,0.0,0.0,0.0,2.4937926890194912,2.019595552371513,0.5266590199408779
-1.38,0.12265504499585345,0.13134917100286012,0.12265504499585345,0.0,0.0,0.0,2.5386170171982507,2.082467400413054,0.5596061949080011
-1.31,0.12092725638082524,0.13765420325572178,0.12092725638082524,0.0,0.0,0.0,2.5831066448379802,2.150696307900304,0.5995065064780073
-1.19,0.12092725638082502,0.14833049081716032,0.12092725638082502,0.0,0.0,0.0,2.627087687664531,2.2241661518813314,0.6421900798991516
-1.12,0.13452372019462033,0.15442447734746836,0.13452372019462033,0.0,0.0,0.0,2.668598695441432,2.2987843415454314,0.6935457614963905
-1.04,0.11064590207592984,0.16121377810631968,0.11064590207592984,0.0,0.0,0.0,2.7136289654178056,2.3664968790541607,0.7449014483020202
-0.93,0.12265514231198216,0.17015133392082232,0.12265514231198216,0.0,0.0,0.0,2.762404552618268,2.431184691085116,0.7962571399892123
-0.86,0.13452378885481386,0.1755435497808102,0.13452378885481386,0.0,0.0,0.0,2.813596893801794,2.4877889736541055,0.8476128369142033
-0.78,0.13452378885481364,0.1813729052611238,0.13452378885481364,0.0,0.0,0.0,2.8729160067362542,2.5421782243174538,0.8989685280238716
